ObsFarm#,FID0,Xf,Yf,Ecology,Xd,Yd,DistName,DistID,Region,REGION,DistKey,District,pH,SOC,Fe_meq100g,Al_meq100g,Clay
1,1202,-2.309,6.972,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.61,0.617,0.023,1.69,34.76
2,1584,-2.23,6.319,ME,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,5.54,0.173,0.023,3.01,12.76
3,1338,-0.222,6.201,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.19,0.112,0.024,9.8,24.76
4,1410,-0.711,5.717,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.14,0.097,0.027,12.3,18.76
5,1346,-0.537,6.088,MSSE,-0.435991616,6.297230947,Tafo,ER8,Eastern,ER,TAFO,Kibi/Tafo,6.99,0.318,0.03,13.23,18.76
6,1180,-1.98,7.517,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,6.29,0.608,0.03,2.8,30.76
7,1170,-2.494,6.817,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,6.08,0.782,0.031,2.16,14.76
8,1153,-2.484,6.605,MSNW,-2.633656006,6.687102282,Sankore,BA1,Brong Ahafo,BA,SANKORE,Sankore,5.78,1.122,0.031,4.2,28.76
9,1406,-0.702,5.871,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,4.48,0.061,0.032,11.11,12.76
10,1583,-2.282,6.322,MSSE,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,5.22,0.166,0.032,2.05,10.76
11,1329,-0.314,6.032,DSIZ,-0.116434066,6.222062609,Oyoko,ER9,Eastern,ER,OYOKO,Oyoko,6.67,0.266,0.033,2.33,12.76
12,1127,-3.023,6.959,MSNW,-2.949514737,7.052434103,Nkrankwanta,BA3,Brong Ahafo,BA,NKRANKWANTA,Nkrankwanta,5.89,0.601,0.034,6.89,20.76
13,1197,-2.454,6.785,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.41,1.025,0.034,3.13,28.76
14,1615,-2.885,6.387,MSSE,-2.908183268,6.419964677,Juaboso,WN8,Western North,WN,JUABOSO,Juaboso,5.72,0.751,0.034,2.99,28.76
15,1179,-1.906,7.526,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,5.93,0.42,0.035,1.7,32.76
16,1199,-2.485,6.837,MSNW,-2.411475117,6.864890163,Dadiesoba,BA2,Brong Ahafo,BA,DADIESOABA,Dadiesoaba,6.02,1.141,0.035,3.41,16.76
17,1383,-0.477,5.994,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.34,0.463,0.036,16.25,30.76
18,1388,-0.502,5.964,DSIZ,-0.470140343,5.910008224,Suhum,ER2,Eastern,ER,SUHUM,Suhum,6.31,0.193,0.036,10.57,12.76
19,1177,-2.054,7.557,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,5.91,0.217,0.036,1.56,28.76
20,1605,-2.233,6.416,MSSE,-2.248519818,6.315543698,Bibiani,WN6,Western North,WN,BIBIANI,Bibiani,6.71,0.183,0.036,5.36,12.76
21,1186,-2.192,7.205,MSNW,-2.196283975,7.190690197,Bechem,BA5,Brong Ahafo,BA,BECHEM,Bechem,5.97,0.755,0.036,5.16,8.76
22,1414,-0.713,5.825,MSSE,-0.742503709,5.820003506,Asamankese,ER1,Eastern,ER,ASAMANKESE,Asamankese,5.72,0.24,0.036,8.78,16.76
23,1178,-1.886,7.582,DSFZ,-1.900377026,7.68534414,Sunyani,BA8,Brong Ahafo,BA,SUNYANI,Sunyani,6.03,0.256,0.036,1.92,18.76
24,1161,-2.644,7.043,MSNW,-2.622448196,7.072896329,Goaso,BA4,Brong Ahafo,BA,GOASO,Goaso,5.76,0.212,0.037,0.64,24.76
