Year,Area harvested(ha),Production(tonnes),Yield(hg/ha)
1961,1756000.0,415200.0,2364.0
1962,1800000.0,428100.0,2378.0
1963,1820000.0,427800.0,2351.0
1964,1848000.0,580500.0,3141.0
1965,1830000.0,415800.0,2272.0
1966,1350000.0,381100.0,2823.0
1967,1450000.0,423500.0,2921.0
1968,1300000.0,327000.0,2515.0
1969,1450000.0,414300.0,2857.0
1970,1451000.0,406000.0,2798.0
1971,1500000.0,470000.0,3133.0
1972,1450000.0,415700.0,2867.0
1973,1400000.0,343000.0,2450.0
1974,1400000.0,385100.0,2751.0
1975,1400000.0,397300.0,2838.0
1976,1300000.0,326700.0,2513.0
1977,1200000.0,277400.0,2312.0
1978,1200000.0,268200.0,2235.0
1979,1200000.0,280800.0,2340.0
1980,1200000.0,277200.0,2310.0
1981,1200000.0,246500.0,2054.0
1982,900000.0,202500.0,2250.0
1983,800000.0,168100.0,2101.0
1984,800000.0,166700.0,2084.0
1985,900000.0,194400.0,2160.0
1986,912000.0,226400.0,2482.0
1987,739371.0,188170.0,2545.0
1988,720071.0,246700.0,3426.0
1989,700286.0,295052.0,4213.0
1990,693249.0,293355.0,4232.0
1991,720898.0,241796.0,3354.0
1992,720898.0,312122.0,4330.0
1993,702061.0,254652.0,3627.0
1994,686531.0,288075.0,4196.0
1995,1000000.0,403900.0,4039.0
1996,1050000.0,403000.0,3838.0
1997,1074970.0,322490.0,3000.0
1998,1364530.0,409360.0,3000.0
1999,1300000.0,434200.0,3340.0
2000,1500000.0,436600.0,2911.0
2001,1350000.0,389591.0,2886.0
2002,1195000.0,340562.0,2850.0
2003,1500000.0,497000.0,3313.0
2004,2000000.0,737000.0,3685.0
2005,1850000.0,740000.0,4000.0
2006,1835000.0,734000.0,4000.0
2007,1463000.0,614500.0,4200.0
2008,1822500.0,680781.0,3735.0
2009,1600000.0,710638.0,4441.0
2010,1600200.0,632037.4,3950.0
2011,1600300.0,700020.0,4374.0
2012,1600300.0,879348.0,5495.0
2013,1600300.0,835466.0,5221.0
2014,1683765.0,858720.0,5100.0
2015,1683765.0,858720.0,5100.0
2016,1683765.0,858720.0,5100.0
2017,1863830.0,969300.0,5201.0
2018,1701251.0,904700.0,5318.0
2019,1488374.0,811700.0,5454.0
2020,1887726.0,1047000.0,5546.0
2021,1457677.0,822000.0,5639.0
