Region,Avg_Regional_pH,Avg_Regional_SOC,Avg_Regional_Fe_meq100g,Avg_Regional_Al_meq100g,Avg_Regional_Clay,Country,Type,Cover (%),Shade_Tree.Density (shade trees ha-1)_Agro,Cocoa_density (cocoa trees ha-1)_Agro,Cocoa_Yield (kg ha-1 y-1),Cocoa_Yield_Tree (kg tree-1 y-1),Avg_Cocoa_DBH(cm),Disease_total (%),Blackpod (%),Other.diseases (%),Mistletoe (Nr. plants ha-1),Carbon (t ha-1)_Agro,Nitrogen (t ha-1)_Agro,Phosphorus (kg ha-1)_Agro,P.resin  (kg ha-1),CEC.eff (cmolc kg-1),K.ex (mg kg-1)_Agro,Ca.ex (mg kg-1)_Agro,Mg.ex (mg kg-1)_Agro,Na.ex (mg kg-1)_Agro,pH_Agro,Bulk.density  (g cm-³),ABG_Carbon_stocks  (t_C_ha-1 ),Litter_Biomass (kg_m2),Tree.richness (Nr. of species),Bird.richness (Nr. of species),Ant.richness (Nr. of species),Frog.richness (Nr. of species),Avg_Temp,Avg_RH,Avg_Soil_Moisture,Avg_Light,Avg_Temp_Max,Avg_RH_Min,location,Farmer age,Household size,Training.days.yr,Labour.cost.ha,Cocoa income,Non-cocoa income,insecticide.applied.ltrs.ha,sachets.fungicide.ha,org.fert.kg.ha,inorgfert.kg.ha,Plot size ha,Cocoa plot age,Avg.Cocoa_DBH (cm),shade.coverage.%,shade.tree.basal.area.m2,Hybrid planting mat.,Non-hybrid ,Mistletoe.%,pHPlantation,% Base Sat.,% SAND,%  CLAY,%   SILT,yield.kg.ha.yr,yatt,yg,yg.%,yg%2,Shade_Tree.Density (shade trees ha-1)Plantation,Cocoa_density (cocoa trees ha-1)Plantation,Shade tree species ha-1,Carbon (t ha-1)Plantation,Nitrogen (t ha-1)Plantation,Soil organic matter (t ha-1),Ca.ex (mg kg-1)Plantation,Mg.ex (mg kg-1)Plantation,K.ex (mg kg-1)Plantation,Na.ex (mg kg-1)Plantation,Phosphorus (kg ha-1)Plantation
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Dry,64.44,10.72,4.18,166.3389881,5.3,2.86,4.54577378,43.41190474,0.0,0.0375,1.0192808,17.06,9.42041288,26.99872722,4.21925986,7.28,2.72,13.8066668,6.943265306122449,98.80804369387754,58.89979591836735,12.307551020408162,28.792653061224488,254.2615778043701,645.0,390.7384221956299,39.42039965959226,60.579600340407744,38.1199999226904,2729.147629751428,58.521960365041735,138.27544408163266,12.845536326530613,238.38686559673468,84638.77551020408,23440.816326530614,2251.0597959183674,810.204081632653,111140.8557142857
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Mid,54.36,6.58,2.24,131.03246804,7.7,1.26,2.6728859,22.095656039999998,0.77744826,0.39005555999999997,1.7253376,20.6,9.87521548,13.089377220000001,6.99774,3.4,6.7,14.603636000000002,6.813,98.77659252,41.5542,12.735,45.7108,546.7231697159616,1174.0,627.2768302840384,46.56926488210915,53.43073511789085,32.439999985280004,1332.8730612922343,11.3618100280784,284.0820912,24.9513312,489.7575252288,102348.0,31560.0,2222.0,1274.0,137404.0
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Wet,47.36,7.58,5.78,147.89908671999999,7.84,1.22,9.88131914,21.03241466,1.41811664,0.8478205,0.982444,16.42,12.11385628,17.659852779999998,4.07109318,2.74,7.46,18.3756708,5.312799999999999,93.66884388,31.8098,12.4156,55.7746,1111.880086407853,2125.0,1013.1199135921471,52.32376877213425,47.67623122786575,30.219999977588,2529.4257171685417,25.26374502148449,169.1352,15.097717600000001,291.58908479999997,39286.0,15622.0,1818.0,1100.0,87247.784
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Mono,0.0,0.0,1161.5504999999998,610.654177365,0.54772058745,12.978199999999998,18.08294418,6.1436578839,11.9392862955,371.73946495,37.472899999999996,3.3054,186.6450580575,11.20543740435,12.3301881455,89.96013716,2001.0171341,226.47992399499998,5.4226936520499995,7.0405,1.27469022205,10.10148412405,1.259,1.2,5.05,10.55,3.2,26.498656673750002,77.73386053212501,14.835587314924998,100.0,35.054647112875,44.652005285125,Dry,64.44,10.72,4.18,166.3389881,5.3,2.86,4.54577378,43.41190474,0.0,0.0375,1.0192808,17.06,9.42041288,26.99872722,4.21925986,7.28,2.72,13.8066668,6.943265306122449,98.80804369387754,58.89979591836735,12.307551020408162,28.792653061224488,254.2615778043701,645.0,390.7384221956299,39.42039965959226,60.579600340407744,38.1199999226904,2729.147629751428,58.521960365041735,138.27544408163266,12.845536326530613,238.38686559673468,84638.77551020408,23440.816326530614,2251.0597959183674,810.204081632653,111140.8557142857
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Mono,0.0,0.0,1161.5504999999998,610.654177365,0.54772058745,12.978199999999998,18.08294418,6.1436578839,11.9392862955,371.73946495,37.472899999999996,3.3054,186.6450580575,11.20543740435,12.3301881455,89.96013716,2001.0171341,226.47992399499998,5.4226936520499995,7.0405,1.27469022205,10.10148412405,1.259,1.2,5.05,10.55,3.2,26.498656673750002,77.73386053212501,14.835587314924998,100.0,35.054647112875,44.652005285125,Mid,54.36,6.58,2.24,131.03246804,7.7,1.26,2.6728859,22.095656039999998,0.77744826,0.39005555999999997,1.7253376,20.6,9.87521548,13.089377220000001,6.99774,3.4,6.7,14.603636000000002,6.813,98.77659252,41.5542,12.735,45.7108,546.7231697159616,1174.0,627.2768302840384,46.56926488210915,53.43073511789085,32.439999985280004,1332.8730612922343,11.3618100280784,284.0820912,24.9513312,489.7575252288,102348.0,31560.0,2222.0,1274.0,137404.0
Ashanti,5.241382113821138,0.5527804878048781,0.09211382113821139,6.6085365853658535,23.279349593495937,Ghana,Mono,0.0,0.0,1161.5504999999998,610.654177365,0.54772058745,12.978199999999998,18.08294418,6.1436578839,11.9392862955,371.73946495,37.472899999999996,3.3054,186.6450580575,11.20543740435,12.3301881455,89.96013716,2001.0171341,226.47992399499998,5.4226936520499995,7.0405,1.27469022205,10.10148412405,1.259,1.2,5.05,10.55,3.2,26.498656673750002,77.73386053212501,14.835587314924998,100.0,35.054647112875,44.652005285125,Wet,47.36,7.58,5.78,147.89908671999999,7.84,1.22,9.88131914,21.03241466,1.41811664,0.8478205,0.982444,16.42,12.11385628,17.659852779999998,4.07109318,2.74,7.46,18.3756708,5.312799999999999,93.66884388,31.8098,12.4156,55.7746,1111.880086407853,2125.0,1013.1199135921471,52.32376877213425,47.67623122786575,30.219999977588,2529.4257171685417,25.26374502148449,169.1352,15.097717600000001,291.58908479999997,39286.0,15622.0,1818.0,1100.0,87247.784
Brong Ahafo,5.937407407407408,0.6133703703703703,0.0514074074074074,3.52,22.982222222222223,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Dry,64.44,10.72,4.18,166.3389881,5.3,2.86,4.54577378,43.41190474,0.0,0.0375,1.0192808,17.06,9.42041288,26.99872722,4.21925986,7.28,2.72,13.8066668,6.943265306122449,98.80804369387754,58.89979591836735,12.307551020408162,28.792653061224488,254.2615778043701,645.0,390.7384221956299,39.42039965959226,60.579600340407744,38.1199999226904,2729.147629751428,58.521960365041735,138.27544408163266,12.845536326530613,238.38686559673468,84638.77551020408,23440.816326530614,2251.0597959183674,810.204081632653,111140.8557142857
Brong Ahafo,5.937407407407408,0.6133703703703703,0.0514074074074074,3.52,22.982222222222223,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Mid,54.36,6.58,2.24,131.03246804,7.7,1.26,2.6728859,22.095656039999998,0.77744826,0.39005555999999997,1.7253376,20.6,9.87521548,13.089377220000001,6.99774,3.4,6.7,14.603636000000002,6.813,98.77659252,41.5542,12.735,45.7108,546.7231697159616,1174.0,627.2768302840384,46.56926488210915,53.43073511789085,32.439999985280004,1332.8730612922343,11.3618100280784,284.0820912,24.9513312,489.7575252288,102348.0,31560.0,2222.0,1274.0,137404.0
Brong Ahafo,5.937407407407408,0.6133703703703703,0.0514074074074074,3.52,22.982222222222223,Ghana,Agro,41.6565376385,59.440999999999995,1240.4315000000001,491.75233433000005,0.4104691841,11.56675,17.9053582205,6.63530089645,11.270057326049999,155.07511013250001,35.94835,3.1866,162.1308104995,10.85337857055,11.4020779963,83.188975233,1827.5338006400002,212.225272615,5.16982129495,6.831999999999999,1.2343018824,38.2563052095,1.128,5.35,10.6,12.0,3.8,26.343639529875,78.25722656299999,13.7339484121,61.4178478525,34.1573129325,47.1586151885,Wet,47.36,7.58,5.78,147.89908671999999,7.84,1.22,9.88131914,21.03241466,1.41811664,0.8478205,0.982444,16.42,12.11385628,17.659852779999998,4.07109318,2.74,7.46,18.3756708,5.312799999999999,93.66884388,31.8098,12.4156,55.7746,1111.880086407853,2125.0,1013.1199135921471,52.32376877213425,47.67623122786575,30.219999977588,2529.4257171685417,25.26374502148449,169.1352,15.097717600000001,291.58908479999997,39286.0,15622.0,1818.0,1100.0,87247.784
Brong Ahafo,5.937407407407408,0.6133703703703703,0.0514074074074074,3.52,22.982222222222223,Ghana,Mono,0.0,0.0,1161.5504999999998,610.654177365,0.54772058745,12.978199999999998,18.08294418,6.1436578839,11.9392862955,371.73946495,37.472899999999996,3.3054,186.6450580575,11.20543740435,12.3301881455,89.96013716,2001.0171341,226.47992399499998,5.4226936520499995,7.0405,1.27469022205,10.10148412405,1.259,1.2,5.05,10.55,3.2,26.498656673750002,77.73386053212501,14.835587314924998,100.0,35.054647112875,44.652005285125,Dry,64.44,10.72,4.18,166.3389881,5.3,2.86,4.54577378,43.41190474,0.0,0.0375,1.0192808,17.06,9.42041288,26.99872722,4.21925986,7.28,2.72,13.8066668,6.943265306122449,98.80804369387754,58.89979591836735,12.307551020408162,28.792653061224488,254.2615778043701,645.0,390.7384221956299,39.42039965959226,60.579600340407744,38.1199999226904,2729.147629751428,58.521960365041735,138.27544408163266,12.845536326530613,238.38686559673468,84638.77551020408,23440.816326530614,2251.0597959183674,810.204081632653,111140.8557142857
