Year,Region,AnnualForecastedDryDays,Country
2015,Brong Ahafo,36.8,Ghana
2016,Brong Ahafo,53.03,Ghana
2017,Brong Ahafo,53.52,Ghana
2018,Brong Ahafo,47.7,Ghana
2019,Brong Ahafo,52.92,Ghana
2020,Brong Ahafo,50.37,Ghana
2021,Brong Ahafo,52.52,Ghana
2022,Brong Ahafo,50.93,Ghana
2023,Brong Ahafo,47.69,Ghana
2024,Brong Ahafo,51.56,Ghana
2025,Brong Ahafo,56.13,Ghana
2026,Brong Ahafo,56.12,Ghana
2027,Brong Ahafo,63.23,Ghana
2028,Brong Ahafo,42.06,Ghana
2029,Brong Ahafo,53.7,Ghana
2030,Brong Ahafo,56.36,Ghana
2031,Brong Ahafo,50.94,Ghana
2032,Brong Ahafo,45.48,Ghana
2033,Brong Ahafo,51.12,Ghana
2034,Brong Ahafo,56.27,Ghana
2035,Brong Ahafo,54.29,Ghana
2036,Brong Ahafo,51.62,Ghana
2037,Brong Ahafo,52.5,Ghana
2038,Brong Ahafo,53.61,Ghana
2039,Brong Ahafo,55.22,Ghana
2040,Brong Ahafo,50.11,Ghana
2041,Brong Ahafo,49.7,Ghana
2042,Brong Ahafo,45.36,Ghana
2043,Brong Ahafo,49.79,Ghana
2044,Brong Ahafo,53.21,Ghana
2045,Brong Ahafo,53.8,Ghana
2046,Brong Ahafo,51.78,Ghana
2047,Brong Ahafo,56.63,Ghana
2048,Brong Ahafo,44.33,Ghana
2049,Brong Ahafo,45.65,Ghana
2050,Brong Ahafo,53.96,Ghana
2051,Brong Ahafo,53.09,Ghana
2052,Brong Ahafo,47.45,Ghana
2053,Brong Ahafo,55.17,Ghana
2054,Brong Ahafo,46.0,Ghana
2055,Brong Ahafo,51.0,Ghana
2056,Brong Ahafo,50.25,Ghana
2057,Brong Ahafo,48.93,Ghana
2058,Brong Ahafo,56.68,Ghana
2059,Brong Ahafo,50.61,Ghana
2060,Brong Ahafo,55.82,Ghana
2061,Brong Ahafo,62.27,Ghana
2062,Brong Ahafo,49.65,Ghana
2063,Brong Ahafo,58.65,Ghana
2064,Brong Ahafo,48.73,Ghana
2065,Brong Ahafo,48.03,Ghana
2066,Brong Ahafo,52.08,Ghana
2067,Brong Ahafo,53.47,Ghana
2068,Brong Ahafo,53.72,Ghana
2069,Brong Ahafo,64.19,Ghana
2070,Brong Ahafo,46.03,Ghana
2071,Brong Ahafo,56.54,Ghana
2072,Brong Ahafo,50.87,Ghana
2073,Brong Ahafo,58.86,Ghana
2074,Brong Ahafo,50.37,Ghana
2075,Brong Ahafo,48.97,Ghana
2076,Brong Ahafo,56.85,Ghana
2077,Brong Ahafo,58.76,Ghana
2078,Brong Ahafo,51.2,Ghana
2079,Brong Ahafo,51.16,Ghana
2080,Brong Ahafo,56.31,Ghana
2081,Brong Ahafo,55.5,Ghana
2082,Brong Ahafo,56.32,Ghana
2083,Brong Ahafo,56.05,Ghana
2084,Brong Ahafo,45.54,Ghana
2085,Brong Ahafo,46.13,Ghana
2086,Brong Ahafo,47.7,Ghana
2087,Brong Ahafo,52.34,Ghana
2088,Brong Ahafo,57.15,Ghana
2089,Brong Ahafo,57.4,Ghana
2090,Brong Ahafo,51.95,Ghana
2091,Brong Ahafo,53.32,Ghana
2092,Brong Ahafo,48.08,Ghana
2093,Brong Ahafo,48.67,Ghana
2094,Brong Ahafo,52.0,Ghana
2095,Brong Ahafo,51.69,Ghana
2096,Brong Ahafo,53.63,Ghana
