Region,AnnualRelativeHumidityForecast,Month,MonthlyReleativeHumidityForecast,Country
Eastern,80.36,Jan,62.14,Ghana
Central,84.85,Jan,71.52,Ghana
Brong Ahafo,72.34,Jan,42.74,Ghana
Ashanti,78.38,Jan,54.57,Ghana
Western,83.96,Jan,67.67,Ghana
Volta,76.25,Jan,54.92,Ghana
Upper West,56.67,Jan,23.05,Ghana
Upper East,55.11,Jan,22.72,Ghana
Northern,62.1,Jan,29.09,Ghana
Greater Accra,83.56,Jan,72.58,Ghana
Eastern,80.36,Feb,65.43,Ghana
Central,84.85,Feb,75.46,Ghana
Brong Ahafo,72.34,Feb,47.45,Ghana
Ashanti,78.38,Feb,59.36,Ghana
Western,83.96,Feb,73.13,Ghana
Volta,76.25,Feb,57.31,Ghana
Upper West,56.67,Feb,21.1,Ghana
Upper East,55.11,Feb,19.98,Ghana
Northern,62.1,Feb,29.16,Ghana
Greater Accra,83.56,Feb,75.5,Ghana
Eastern,80.36,Mar,74.21,Ghana
Central,84.85,Mar,80.76,Ghana
Brong Ahafo,72.34,Mar,62.09,Ghana
Ashanti,78.38,Mar,70.88,Ghana
Western,83.96,Mar,79.37,Ghana
Volta,76.25,Mar,66.43,Ghana
Upper West,56.67,Mar,32.39,Ghana
Upper East,55.11,Mar,30.49,Ghana
Northern,62.1,Mar,43.16,Ghana
Greater Accra,83.56,Mar,80.43,Ghana
Eastern,80.36,Apr,79.61,Ghana
Central,84.85,Apr,84.98,Ghana
Brong Ahafo,72.34,Apr,71.0,Ghana
Ashanti,78.38,Apr,77.92,Ghana
Western,83.96,Apr,84.1,Ghana
Volta,76.25,Apr,74.27,Ghana
Upper West,56.67,Apr,49.61,Ghana
Upper East,55.11,Apr,48.08,Ghana
Northern,62.1,Apr,58.7,Ghana
Greater Accra,83.56,Apr,83.86,Ghana
Eastern,80.36,May,82.0,Ghana
Central,84.85,May,86.81,Ghana
Brong Ahafo,72.34,May,75.29,Ghana
Ashanti,78.38,May,79.76,Ghana
Western,83.96,May,85.75,Ghana
Volta,76.25,May,79.48,Ghana
Upper West,56.67,May,62.93,Ghana
Upper East,55.11,May,62.55,Ghana
Northern,62.1,May,68.02,Ghana
Greater Accra,83.56,May,85.42,Ghana
Eastern,80.36,Jun,85.1,Ghana
Central,84.85,Jun,88.17,Ghana
Brong Ahafo,72.34,Jun,81.05,Ghana
Ashanti,78.38,Jun,83.93,Ghana
Western,83.96,Jun,87.68,Ghana
Volta,76.25,Jun,83.35,Ghana
Upper West,56.67,Jun,70.8,Ghana
Upper East,55.11,Jun,69.86,Ghana
Northern,62.1,Jun,75.0,Ghana
Greater Accra,83.56,Jun,86.6,Ghana
Eastern,80.36,Jul,89.16,Ghana
Central,84.85,Jul,91.11,Ghana
Brong Ahafo,72.34,Jul,86.55,Ghana
Ashanti,78.38,Jul,89.17,Ghana
Western,83.96,Jul,90.65,Ghana
Volta,76.25,Jul,87.13,Ghana
Upper West,56.67,Jul,81.17,Ghana
Upper East,55.11,Jul,77.68,Ghana
Northern,62.1,Jul,81.7,Ghana
Greater Accra,83.56,Jul,89.06,Ghana
Eastern,80.36,Aug,89.22,Ghana
Central,84.85,Aug,92.12,Ghana
Brong Ahafo,72.34,Aug,87.02,Ghana
Ashanti,78.38,Aug,89.09,Ghana
Western,83.96,Aug,91.72,Ghana
Volta,76.25,Aug,87.84,Ghana
Upper West,56.67,Aug,86.62,Ghana
Upper East,55.11,Aug,86.07,Ghana
Northern,62.1,Aug,85.91,Ghana
Greater Accra,83.56,Aug,90.3,Ghana
Eastern,80.36,Sep,89.12,Ghana
Central,84.85,Sep,91.01,Ghana
Brong Ahafo,72.34,Sep,87.61,Ghana
Ashanti,78.38,Sep,89.49,Ghana
Western,83.96,Sep,91.43,Ghana
Volta,76.25,Sep,88.09,Ghana
Upper West,56.67,Sep,82.23,Ghana
Upper East,55.11,Sep,81.09,Ghana
Northern,62.1,Sep,84.45,Ghana
Greater Accra,83.56,Sep,89.33,Ghana
Eastern,80.36,Oct,89.36,Ghana
Central,84.85,Oct,89.62,Ghana
Brong Ahafo,72.34,Oct,86.84,Ghana
Ashanti,78.38,Oct,89.41,Ghana
Western,83.96,Oct,89.97,Ghana
Volta,76.25,Oct,88.14,Ghana
Upper West,56.67,Oct,75.66,Ghana
Upper East,55.11,Oct,73.62,Ghana
Northern,62.1,Oct,79.86,Ghana
Greater Accra,83.56,Oct,88.86,Ghana
Eastern,80.36,Nov,82.38,Ghana
Central,84.85,Nov,85.92,Ghana
Brong Ahafo,72.34,Nov,75.81,Ghana
Ashanti,78.38,Nov,81.67,Ghana
Western,83.96,Nov,85.55,Ghana
Volta,76.25,Nov,79.27,Ghana
Upper West,56.67,Nov,55.51,Ghana
Upper East,55.11,Nov,53.78,Ghana
Northern,62.1,Nov,63.85,Ghana
Greater Accra,83.56,Nov,84.45,Ghana
Eastern,80.36,Dec,70.16,Ghana
Central,84.85,Dec,78.46,Ghana
Brong Ahafo,72.34,Dec,55.25,Ghana
Ashanti,78.38,Dec,65.05,Ghana
Western,83.96,Dec,76.19,Ghana
Volta,76.25,Dec,64.25,Ghana
Upper West,56.67,Dec,33.69,Ghana
Upper East,55.11,Dec,32.22,Ghana
Northern,62.1,Dec,41.4,Ghana
Greater Accra,83.56,Dec,77.15,Ghana
