Year,Region,AnnualForecastedDrought(SPEI Index),Country
2015,Ashanti,0.0,Ghana
2016,Ashanti,0.0,Ghana
2017,Ashanti,-0.1,Ghana
2018,Ashanti,0.0,Ghana
2019,Ashanti,0.0,Ghana
2020,Ashanti,-0.05,Ghana
2021,Ashanti,-0.0,Ghana
2022,Ashanti,0.0,Ghana
2023,Ashanti,0.0,Ghana
2024,Ashanti,0.0,Ghana
2025,Ashanti,0.0,Ghana
2026,Ashanti,0.0,Ghana
2027,Ashanti,0.0,Ghana
2028,Ashanti,0.0,Ghana
2029,Ashanti,0.0,Ghana
2030,Ashanti,0.0,Ghana
2031,Ashanti,-0.11,Ghana
2032,Ashanti,0.0,Ghana
2033,Ashanti,0.0,Ghana
2034,Ashanti,0.0,Ghana
2035,Ashanti,0.0,Ghana
2036,Ashanti,0.0,Ghana
2037,Ashanti,-0.01,Ghana
2038,Ashanti,-0.06,Ghana
2039,Ashanti,0.0,Ghana
2040,Ashanti,0.0,Ghana
2041,Ashanti,0.0,Ghana
2042,Ashanti,0.0,Ghana
2043,Ashanti,-0.0,Ghana
2044,Ashanti,-0.03,Ghana
2045,Ashanti,0.0,Ghana
2046,Ashanti,0.0,Ghana
2047,Ashanti,0.0,Ghana
2048,Ashanti,0.0,Ghana
2049,Ashanti,0.0,Ghana
2050,Ashanti,0.0,Ghana
2051,Ashanti,0.0,Ghana
2052,Ashanti,-0.19,Ghana
2053,Ashanti,0.0,Ghana
2054,Ashanti,0.0,Ghana
2055,Ashanti,0.0,Ghana
2056,Ashanti,0.0,Ghana
2057,Ashanti,0.0,Ghana
2058,Ashanti,-0.01,Ghana
2059,Ashanti,0.0,Ghana
2060,Ashanti,0.0,Ghana
2061,Ashanti,0.0,Ghana
2062,Ashanti,0.0,Ghana
2063,Ashanti,0.0,Ghana
2064,Ashanti,0.0,Ghana
2065,Ashanti,0.0,Ghana
2066,Ashanti,0.0,Ghana
2067,Ashanti,0.0,Ghana
2068,Ashanti,0.0,Ghana
2069,Ashanti,0.0,Ghana
2070,Ashanti,-0.01,Ghana
2071,Ashanti,0.0,Ghana
2072,Ashanti,0.0,Ghana
2073,Ashanti,0.0,Ghana
2074,Ashanti,0.0,Ghana
2075,Ashanti,0.0,Ghana
2076,Ashanti,0.0,Ghana
2077,Ashanti,0.0,Ghana
2078,Ashanti,0.0,Ghana
2079,Ashanti,-0.06,Ghana
2080,Ashanti,-0.08,Ghana
2081,Ashanti,-0.0,Ghana
2082,Ashanti,0.0,Ghana
2083,Ashanti,0.0,Ghana
2084,Ashanti,0.0,Ghana
2085,Ashanti,0.0,Ghana
2086,Ashanti,0.0,Ghana
2087,Ashanti,0.0,Ghana
2088,Ashanti,0.0,Ghana
2089,Ashanti,-0.0,Ghana
2090,Ashanti,0.0,Ghana
2091,Ashanti,0.0,Ghana
2092,Ashanti,0.0,Ghana
2093,Ashanti,0.0,Ghana
2094,Ashanti,-0.08,Ghana
2095,Ashanti,-0.07,Ghana
2096,Ashanti,0.0,Ghana
2097,Ashanti,-0.02,Ghana
2098,Ashanti,-0.0,Ghana
2099,Ashanti,0.0,Ghana
2100,Ashanti,0.0,Ghana
2015,Brong Ahafo,0.0,Ghana
2016,Brong Ahafo,0.0,Ghana
2017,Brong Ahafo,-0.01,Ghana
2018,Brong Ahafo,0.0,Ghana
2019,Brong Ahafo,0.0,Ghana
2020,Brong Ahafo,-0.05,Ghana
2021,Brong Ahafo,-0.0,Ghana
2022,Brong Ahafo,0.0,Ghana
2023,Brong Ahafo,0.0,Ghana
2024,Brong Ahafo,0.0,Ghana
2025,Brong Ahafo,0.0,Ghana
2026,Brong Ahafo,0.0,Ghana
2027,Brong Ahafo,0.0,Ghana
