Year,Region,Annualmaxdailytempforecast,Country
2015,Ashanti,38.05,Ghana
2016,Ashanti,38.0,Ghana
2017,Ashanti,38.08,Ghana
2018,Ashanti,37.81,Ghana
2019,Ashanti,38.15,Ghana
2020,Ashanti,38.41,Ghana
2021,Ashanti,38.51,Ghana
2022,Ashanti,38.51,Ghana
2023,Ashanti,38.39,Ghana
2024,Ashanti,38.3,Ghana
2025,Ashanti,38.5,Ghana
2026,Ashanti,38.25,Ghana
2027,Ashanti,38.36,Ghana
2028,Ashanti,38.71,Ghana
2029,Ashanti,38.38,Ghana
2030,Ashanti,38.41,Ghana
2031,Ashanti,38.32,Ghana
2032,Ashanti,38.59,Ghana
2033,Ashanti,38.54,Ghana
2034,Ashanti,38.74,Ghana
2035,Ashanti,38.41,Ghana
2036,Ashanti,38.6,Ghana
2037,Ashanti,38.72,Ghana
2038,Ashanti,38.99,Ghana
2039,Ashanti,38.76,Ghana
2040,Ashanti,38.7,Ghana
2041,Ashanti,38.93,Ghana
2042,Ashanti,38.9,Ghana
2043,Ashanti,39.02,Ghana
2044,Ashanti,39.0,Ghana
2045,Ashanti,38.56,Ghana
2046,Ashanti,39.32,Ghana
2047,Ashanti,39.03,Ghana
2048,Ashanti,38.68,Ghana
2049,Ashanti,38.98,Ghana
2050,Ashanti,38.76,Ghana
2051,Ashanti,38.81,Ghana
2052,Ashanti,38.97,Ghana
2053,Ashanti,38.93,Ghana
2054,Ashanti,39.29,Ghana
2055,Ashanti,38.91,Ghana
2056,Ashanti,39.16,Ghana
2057,Ashanti,38.81,Ghana
2058,Ashanti,39.02,Ghana
2059,Ashanti,39.0,Ghana
2060,Ashanti,39.37,Ghana
2061,Ashanti,38.96,Ghana
2062,Ashanti,39.04,Ghana
2063,Ashanti,39.27,Ghana
2064,Ashanti,38.86,Ghana
2065,Ashanti,38.91,Ghana
2066,Ashanti,39.0,Ghana
2067,Ashanti,39.29,Ghana
2068,Ashanti,38.96,Ghana
2069,Ashanti,39.21,Ghana
2070,Ashanti,38.76,Ghana
2071,Ashanti,38.95,Ghana
2072,Ashanti,38.72,Ghana
2073,Ashanti,39.13,Ghana
2074,Ashanti,39.3,Ghana
2075,Ashanti,38.71,Ghana
2076,Ashanti,38.96,Ghana
2077,Ashanti,39.11,Ghana
2078,Ashanti,39.2,Ghana
2079,Ashanti,39.11,Ghana
2080,Ashanti,38.9,Ghana
2081,Ashanti,38.98,Ghana
2082,Ashanti,39.12,Ghana
2083,Ashanti,39.09,Ghana
2084,Ashanti,38.88,Ghana
2085,Ashanti,39.02,Ghana
2086,Ashanti,39.04,Ghana
2087,Ashanti,39.0,Ghana
2088,Ashanti,39.16,Ghana
2089,Ashanti,38.61,Ghana
2090,Ashanti,39.1,Ghana
2091,Ashanti,38.89,Ghana
2092,Ashanti,39.07,Ghana
2093,Ashanti,38.89,Ghana
2094,Ashanti,38.69,Ghana
