Year,Region,AnnualMeanTemp,Country
2015,Ashanti,27.28,Ghana
2016,Ashanti,27.56,Ghana
2017,Ashanti,27.38,Ghana
2018,Ashanti,27.26,Ghana
2019,Ashanti,27.15,Ghana
2020,Ashanti,27.41,Ghana
2021,Ashanti,27.55,Ghana
2015,Brong Ahafo,27.67,Ghana
2016,Brong Ahafo,27.94,Ghana
2017,Brong Ahafo,27.77,Ghana
2018,Brong Ahafo,27.67,Ghana
2019,Brong Ahafo,27.53,Ghana
2020,Brong Ahafo,27.83,Ghana
2021,Brong Ahafo,27.99,Ghana
2015,Central,27.09,Ghana
2016,Central,27.41,Ghana
2017,Central,27.23,Ghana
2018,Central,27.07,Ghana
2019,Central,26.98,Ghana
2020,Central,27.25,Ghana
2021,Central,27.38,Ghana
2015,Eastern,27.32,Ghana
2016,Eastern,27.61,Ghana
2017,Eastern,27.42,Ghana
2018,Eastern,27.31,Ghana
2019,Eastern,27.19,Ghana
2020,Eastern,27.47,Ghana
2021,Eastern,27.61,Ghana
2015,Greater Accra,27.66,Ghana
2016,Greater Accra,27.95,Ghana
2017,Greater Accra,27.76,Ghana
2018,Greater Accra,27.62,Ghana
2019,Greater Accra,27.53,Ghana
2020,Greater Accra,27.8,Ghana
2021,Greater Accra,27.94,Ghana
2015,Northern,28.58,Ghana
2016,Northern,28.79,Ghana
2017,Northern,28.63,Ghana
2018,Northern,28.58,Ghana
2019,Northern,28.42,Ghana
2020,Northern,28.74,Ghana
2021,Northern,28.97,Ghana
2015,Upper East,29.19,Ghana
2016,Upper East,29.41,Ghana
2017,Upper East,29.24,Ghana
2018,Upper East,29.22,Ghana
2019,Upper East,29.03,Ghana
2020,Upper East,29.33,Ghana
2021,Upper East,29.68,Ghana
2015,Upper West,28.87,Ghana
2016,Upper West,29.09,Ghana
2017,Upper West,28.96,Ghana
2018,Upper West,28.92,Ghana
2019,Upper West,28.68,Ghana
2020,Upper West,29.04,Ghana
2021,Upper West,29.36,Ghana
2015,Volta,27.77,Ghana
2016,Volta,28.02,Ghana
2017,Volta,27.86,Ghana
2018,Volta,27.76,Ghana
2019,Volta,27.64,Ghana
2020,Volta,27.92,Ghana
2021,Volta,28.08,Ghana
2015,Western,27.17,Ghana
2016,Western,27.49,Ghana
2017,Western,27.33,Ghana
2018,Western,27.16,Ghana
2019,Western,27.04,Ghana
2020,Western,27.31,Ghana
2021,Western,27.42,Ghana
