Year,Region,Annualmeantempforecast,Country
2015,Ashanti,27.24,Ghana
2016,Ashanti,27.28,Ghana
2017,Ashanti,27.22,Ghana
2018,Ashanti,27.4,Ghana
2019,Ashanti,27.5,Ghana
2020,Ashanti,27.63,Ghana
2021,Ashanti,27.58,Ghana
2022,Ashanti,27.52,Ghana
2023,Ashanti,27.54,Ghana
2024,Ashanti,27.75,Ghana
2025,Ashanti,27.71,Ghana
2026,Ashanti,27.77,Ghana
2027,Ashanti,27.46,Ghana
2028,Ashanti,27.69,Ghana
2029,Ashanti,27.75,Ghana
2030,Ashanti,27.77,Ghana
2031,Ashanti,27.87,Ghana
2032,Ashanti,27.83,Ghana
2033,Ashanti,27.94,Ghana
2034,Ashanti,27.81,Ghana
2035,Ashanti,27.69,Ghana
2036,Ashanti,27.93,Ghana
2037,Ashanti,28.0,Ghana
2038,Ashanti,27.92,Ghana
2039,Ashanti,27.96,Ghana
2040,Ashanti,27.93,Ghana
2041,Ashanti,27.87,Ghana
2042,Ashanti,28.02,Ghana
2043,Ashanti,28.18,Ghana
2044,Ashanti,28.01,Ghana
2045,Ashanti,27.9,Ghana
2046,Ashanti,28.07,Ghana
2047,Ashanti,28.11,Ghana
2048,Ashanti,28.08,Ghana
2049,Ashanti,28.01,Ghana
2050,Ashanti,28.09,Ghana
2051,Ashanti,28.17,Ghana
2052,Ashanti,27.95,Ghana
2053,Ashanti,27.96,Ghana
2054,Ashanti,28.09,Ghana
2055,Ashanti,27.91,Ghana
2056,Ashanti,28.1,Ghana
2057,Ashanti,28.04,Ghana
2058,Ashanti,28.05,Ghana
2059,Ashanti,28.12,Ghana
2060,Ashanti,28.17,Ghana
2061,Ashanti,28.09,Ghana
2062,Ashanti,27.99,Ghana
2063,Ashanti,28.14,Ghana
2064,Ashanti,28.14,Ghana
2065,Ashanti,27.98,Ghana
2066,Ashanti,28.11,Ghana
2067,Ashanti,28.18,Ghana
2068,Ashanti,28.13,Ghana
2069,Ashanti,28.05,Ghana
2070,Ashanti,28.27,Ghana
2071,Ashanti,28.09,Ghana
2072,Ashanti,28.01,Ghana
2073,Ashanti,28.08,Ghana
2074,Ashanti,28.17,Ghana
2075,Ashanti,28.1,Ghana
2076,Ashanti,28.0,Ghana
2077,Ashanti,28.15,Ghana
2078,Ashanti,28.16,Ghana
2079,Ashanti,28.18,Ghana
2080,Ashanti,28.03,Ghana
2081,Ashanti,28.1,Ghana
2082,Ashanti,28.24,Ghana
2083,Ashanti,28.0,Ghana
2084,Ashanti,27.96,Ghana
2085,Ashanti,28.02,Ghana
2086,Ashanti,28.04,Ghana
2087,Ashanti,28.04,Ghana
2088,Ashanti,28.0,Ghana
2089,Ashanti,27.86,Ghana
2090,Ashanti,27.95,Ghana
2091,Ashanti,28.19,Ghana
2092,Ashanti,27.94,Ghana
2093,Ashanti,27.85,Ghana
2094,Ashanti,27.9,Ghana
2095,Ashanti,28.02,Ghana
2096,Ashanti,27.85,Ghana
2097,Ashanti,27.96,Ghana
2098,Ashanti,28.03,Ghana
2099,Ashanti,28.04,Ghana
2100,Ashanti,27.95,Ghana
2015,Brong Ahafo,27.35,Ghana
2016,Brong Ahafo,27.33,Ghana
2017,Brong Ahafo,27.34,Ghana
2018,Brong Ahafo,27.55,Ghana
2019,Brong Ahafo,27.65,Ghana
2020,Brong Ahafo,27.77,Ghana
2021,Brong Ahafo,27.69,Ghana
2022,Brong Ahafo,27.65,Ghana
2023,Brong Ahafo,27.64,Ghana
2024,Brong Ahafo,27.86,Ghana
2025,Brong Ahafo,27.81,Ghana
2026,Brong Ahafo,27.88,Ghana
2027,Brong Ahafo,27.56,Ghana
2028,Brong Ahafo,27.86,Ghana
2029,Brong Ahafo,27.83,Ghana
2030,Brong Ahafo,27.87,Ghana
2031,Brong Ahafo,28.04,Ghana
2032,Brong Ahafo,27.94,Ghana
2033,Brong Ahafo,28.09,Ghana
2034,Brong Ahafo,27.92,Ghana
2035,Brong Ahafo,27.85,Ghana
2036,Brong Ahafo,28.06,Ghana
2037,Brong Ahafo,28.08,Ghana
2038,Brong Ahafo,27.96,Ghana
2039,Brong Ahafo,28.06,Ghana
2040,Brong Ahafo,28.03,Ghana
2041,Brong Ahafo,28.01,Ghana
2042,Brong Ahafo,28.11,Ghana
2043,Brong Ahafo,28.28,Ghana
2044,Brong Ahafo,28.09,Ghana
2045,Brong Ahafo,28.05,Ghana
2046,Brong Ahafo,28.16,Ghana
2047,Brong Ahafo,28.2,Ghana
2048,Brong Ahafo,28.19,Ghana
2049,Brong Ahafo,28.14,Ghana
2050,Brong Ahafo,28.22,Ghana
2051,Brong Ahafo,28.3,Ghana
2052,Brong Ahafo,28.1,Ghana
2053,Brong Ahafo,28.09,Ghana
2054,Brong Ahafo,28.14,Ghana
2055,Brong Ahafo,28.06,Ghana
2056,Brong Ahafo,28.28,Ghana
2057,Brong Ahafo,28.15,Ghana
2058,Brong Ahafo,28.18,Ghana
2059,Brong Ahafo,28.19,Ghana
2060,Brong Ahafo,28.32,Ghana
2061,Brong Ahafo,28.28,Ghana
2062,Brong Ahafo,28.12,Ghana
2063,Brong Ahafo,28.26,Ghana
2064,Brong Ahafo,28.31,Ghana
2065,Brong Ahafo,28.14,Ghana
2066,Brong Ahafo,28.23,Ghana
2067,Brong Ahafo,28.37,Ghana
2068,Brong Ahafo,28.31,Ghana
2069,Brong Ahafo,28.24,Ghana
2070,Brong Ahafo,28.39,Ghana
2071,Brong Ahafo,28.21,Ghana
2072,Brong Ahafo,28.14,Ghana
2073,Brong Ahafo,28.19,Ghana
2074,Brong Ahafo,28.22,Ghana
2075,Brong Ahafo,28.24,Ghana
2076,Brong Ahafo,28.07,Ghana
2077,Brong Ahafo,28.29,Ghana
2078,Brong Ahafo,28.3,Ghana
2079,Brong Ahafo,28.32,Ghana
2080,Brong Ahafo,28.13,Ghana
2081,Brong Ahafo,28.26,Ghana
2082,Brong Ahafo,28.37,Ghana
2083,Brong Ahafo,28.09,Ghana
2084,Brong Ahafo,28.08,Ghana
2085,Brong Ahafo,28.18,Ghana
2086,Brong Ahafo,28.28,Ghana
2087,Brong Ahafo,28.14,Ghana
2088,Brong Ahafo,28.13,Ghana
2089,Brong Ahafo,28.06,Ghana
2090,Brong Ahafo,28.05,Ghana
2091,Brong Ahafo,28.34,Ghana
2092,Brong Ahafo,28.07,Ghana
2093,Brong Ahafo,28.0,Ghana
2094,Brong Ahafo,28.07,Ghana
2095,Brong Ahafo,28.14,Ghana
2096,Brong Ahafo,27.98,Ghana
2097,Brong Ahafo,28.05,Ghana
2098,Brong Ahafo,28.15,Ghana
2099,Brong Ahafo,28.17,Ghana
2100,Brong Ahafo,28.02,Ghana
2015,Central,27.11,Ghana
2016,Central,27.19,Ghana
2017,Central,27.21,Ghana
2018,Central,27.3,Ghana
2019,Central,27.42,Ghana
2020,Central,27.43,Ghana
2021,Central,27.46,Ghana
2022,Central,27.42,Ghana
2023,Central,27.42,Ghana
2024,Central,27.58,Ghana
2025,Central,27.55,Ghana
2026,Central,27.58,Ghana
2027,Central,27.42,Ghana
2028,Central,27.59,Ghana
2029,Central,27.66,Ghana
2030,Central,27.6,Ghana
2031,Central,27.7,Ghana
2032,Central,27.58,Ghana
2033,Central,27.74,Ghana
2034,Central,27.68,Ghana
2035,Central,27.62,Ghana
2036,Central,27.69,Ghana
2037,Central,27.83,Ghana
2038,Central,27.87,Ghana
2039,Central,27.82,Ghana
2040,Central,27.63,Ghana
2041,Central,27.8,Ghana
2042,Central,27.87,Ghana
2043,Central,27.96,Ghana
2044,Central,27.87,Ghana
2045,Central,27.77,Ghana
2046,Central,27.89,Ghana
2047,Central,27.89,Ghana
2048,Central,27.97,Ghana
2049,Central,27.91,Ghana
2050,Central,28.02,Ghana
2051,Central,28.14,Ghana
2052,Central,27.83,Ghana
2053,Central,27.85,Ghana
2054,Central,27.9,Ghana
2055,Central,27.82,Ghana
2056,Central,27.94,Ghana
2057,Central,27.92,Ghana
2058,Central,27.89,Ghana
2059,Central,28.09,Ghana
2060,Central,28.05,Ghana
2061,Central,27.92,Ghana
2062,Central,27.84,Ghana
