Year,Region,Annualmindailytempforecast,Country
2015,Ashanti,16.52,Ghana
2016,Ashanti,16.8,Ghana
2017,Ashanti,16.7,Ghana
2018,Ashanti,17.08,Ghana
2019,Ashanti,16.91,Ghana
2020,Ashanti,17.49,Ghana
2021,Ashanti,17.31,Ghana
2022,Ashanti,17.23,Ghana
2023,Ashanti,17.6,Ghana
2024,Ashanti,17.06,Ghana
2025,Ashanti,17.26,Ghana
2026,Ashanti,17.72,Ghana
2027,Ashanti,17.25,Ghana
2028,Ashanti,17.59,Ghana
2029,Ashanti,17.36,Ghana
2030,Ashanti,18.09,Ghana
2031,Ashanti,17.89,Ghana
2032,Ashanti,17.44,Ghana
2033,Ashanti,17.85,Ghana
2034,Ashanti,17.84,Ghana
2035,Ashanti,18.01,Ghana
2036,Ashanti,17.5,Ghana
2037,Ashanti,17.29,Ghana
2038,Ashanti,17.5,Ghana
2039,Ashanti,18.0,Ghana
2040,Ashanti,17.61,Ghana
2041,Ashanti,17.95,Ghana
2042,Ashanti,17.64,Ghana
2043,Ashanti,17.83,Ghana
2044,Ashanti,17.68,Ghana
2045,Ashanti,18.09,Ghana
2046,Ashanti,17.7,Ghana
2047,Ashanti,17.71,Ghana
2048,Ashanti,18.04,Ghana
2049,Ashanti,17.96,Ghana
2050,Ashanti,18.37,Ghana
2051,Ashanti,17.81,Ghana
2052,Ashanti,17.95,Ghana
2053,Ashanti,17.82,Ghana
2054,Ashanti,18.1,Ghana
2055,Ashanti,17.61,Ghana
2056,Ashanti,17.75,Ghana
2057,Ashanti,17.57,Ghana
2058,Ashanti,17.89,Ghana
2059,Ashanti,17.52,Ghana
2060,Ashanti,17.85,Ghana
2061,Ashanti,18.1,Ghana
2062,Ashanti,18.44,Ghana
2063,Ashanti,17.66,Ghana
2064,Ashanti,18.15,Ghana
2065,Ashanti,17.59,Ghana
2066,Ashanti,17.72,Ghana
2067,Ashanti,17.93,Ghana
2068,Ashanti,17.79,Ghana
2069,Ashanti,18.36,Ghana
2070,Ashanti,18.0,Ghana
2071,Ashanti,18.23,Ghana
2072,Ashanti,17.99,Ghana
2073,Ashanti,17.84,Ghana
2074,Ashanti,17.67,Ghana
2075,Ashanti,18.31,Ghana
2076,Ashanti,17.4,Ghana
2077,Ashanti,17.71,Ghana
2078,Ashanti,17.71,Ghana
2079,Ashanti,17.99,Ghana
2080,Ashanti,17.83,Ghana
2081,Ashanti,17.81,Ghana
2082,Ashanti,17.68,Ghana
2083,Ashanti,17.27,Ghana
2084,Ashanti,17.51,Ghana
2085,Ashanti,17.68,Ghana
2086,Ashanti,17.86,Ghana
2087,Ashanti,17.84,Ghana
2088,Ashanti,17.85,Ghana
2089,Ashanti,18.12,Ghana
2090,Ashanti,17.91,Ghana
2091,Ashanti,17.57,Ghana
2092,Ashanti,17.67,Ghana
2093,Ashanti,18.19,Ghana
2094,Ashanti,17.69,Ghana
2095,Ashanti,17.49,Ghana
2096,Ashanti,17.68,Ghana
2097,Ashanti,17.59,Ghana
2098,Ashanti,17.52,Ghana
2099,Ashanti,18.05,Ghana
2100,Ashanti,17.57,Ghana
2015,Brong Ahafo,15.41,Ghana
2016,Brong Ahafo,15.5,Ghana
2017,Brong Ahafo,15.43,Ghana
2018,Brong Ahafo,15.62,Ghana
2019,Brong Ahafo,15.57,Ghana
2020,Brong Ahafo,16.34,Ghana
