Region,AnnualWetDaysForecast,Month,MonthlyWetDaysForecast,Country
Eastern,112.34,Jan,1.46,Ghana
Central,111.23,Jan,2.31,Ghana
Brong Ahafo,117.61,Jan,1.13,Ghana
Ashanti,123.38,Jan,1.65,Ghana
Western,118.81,Jan,2.43,Ghana
Volta,106.71,Jan,0.9,Ghana
Upper West,78.88,Jan,0.14,Ghana
Upper East,74.56,Jan,0.09,Ghana
Northern,92.43,Jan,0.28,Ghana
Greater Accra,97.9,Jan,1.54,Ghana
Eastern,112.34,Feb,2.55,Ghana
Central,111.23,Feb,3.16,Ghana
Brong Ahafo,117.61,Feb,2.24,Ghana
Ashanti,123.38,Feb,2.75,Ghana
Western,118.81,Feb,3.2,Ghana
Volta,106.71,Feb,2.08,Ghana
Upper West,78.88,Feb,0.48,Ghana
Upper East,74.56,Feb,0.36,Ghana
Northern,92.43,Feb,0.88,Ghana
Greater Accra,97.9,Feb,2.25,Ghana
Eastern,112.34,Mar,4.88,Ghana
Central,111.23,Mar,4.79,Ghana
Brong Ahafo,117.61,Mar,4.85,Ghana
Ashanti,123.38,Mar,5.58,Ghana
Western,118.81,Mar,5.6,Ghana
Volta,106.71,Mar,4.25,Ghana
Upper West,78.88,Mar,2.49,Ghana
Upper East,74.56,Mar,2.24,Ghana
Northern,92.43,Mar,2.97,Ghana
Greater Accra,97.9,Mar,4.0,Ghana
Eastern,112.34,Apr,7.74,Ghana
Central,111.23,Apr,7.15,Ghana
Brong Ahafo,117.61,Apr,7.53,Ghana
Ashanti,123.38,Apr,8.21,Ghana
Western,118.81,Apr,7.94,Ghana
Volta,106.71,Apr,6.86,Ghana
Upper West,78.88,Apr,4.46,Ghana
Upper East,74.56,Apr,3.78,Ghana
Northern,92.43,Apr,5.37,Ghana
Greater Accra,97.9,Apr,6.52,Ghana
Eastern,112.34,May,9.65,Ghana
Central,111.23,May,10.31,Ghana
Brong Ahafo,117.61,May,9.17,Ghana
Ashanti,123.38,May,10.04,Ghana
Western,118.81,May,11.63,Ghana
Volta,106.71,May,9.25,Ghana
Upper West,78.88,May,6.79,Ghana
Upper East,74.56,May,6.13,Ghana
Northern,92.43,May,7.39,Ghana
Greater Accra,97.9,May,10.47,Ghana
Eastern,112.34,Jun,13.45,Ghana
Central,111.23,Jun,17.67,Ghana
Brong Ahafo,117.61,Jun,11.09,Ghana
Ashanti,123.38,Jun,11.76,Ghana
Western,118.81,Jun,18.14,Ghana
Volta,106.71,Jun,12.06,Ghana
Upper West,78.88,Jun,8.44,Ghana
Upper East,74.56,Jun,7.82,Ghana
Northern,92.43,Jun,9.03,Ghana
Greater Accra,97.9,Jun,16.0,Ghana
Eastern,112.34,Jul,18.13,Ghana
Central,111.23,Jul,21.76,Ghana
Brong Ahafo,117.61,Jul,16.86,Ghana
Ashanti,123.38,Jul,17.84,Ghana
Western,118.81,Jul,21.13,Ghana
Volta,106.71,Jul,16.17,Ghana
Upper West,78.88,Jul,11.71,Ghana
Upper East,74.56,Jul,10.1,Ghana
Northern,92.43,Jul,12.89,Ghana
Greater Accra,97.9,Jul,19.99,Ghana
Eastern,112.34,Aug,15.0,Ghana
Central,111.23,Aug,12.09,Ghana
Brong Ahafo,117.61,Aug,18.06,Ghana
Ashanti,123.38,Aug,17.04,Ghana
Western,118.81,Aug,14.39,Ghana
Volta,106.71,Aug,16.04,Ghana
Upper West,78.88,Aug,16.35,Ghana
Upper East,74.56,Aug,15.16,Ghana
Northern,92.43,Aug,17.61,Ghana
Greater Accra,97.9,Aug,11.22,Ghana
Eastern,112.34,Sep,13.8,Ghana
Central,111.23,Sep,8.77,Ghana
Brong Ahafo,117.61,Sep,18.38,Ghana
Ashanti,123.38,Sep,16.42,Ghana
Western,118.81,Sep,11.46,Ghana
Volta,106.71,Sep,15.06,Ghana
Upper West,78.88,Sep,14.82,Ghana
Upper East,74.56,Sep,13.8,Ghana
Northern,92.43,Sep,16.37,Ghana
Greater Accra,97.9,Sep,7.76,Ghana
Eastern,112.34,Oct,15.74,Ghana
Central,111.23,Oct,9.53,Ghana
Brong Ahafo,117.61,Oct,17.63,Ghana
Ashanti,123.38,Oct,18.18,Ghana
Western,118.81,Oct,12.75,Ghana
Volta,106.71,Oct,14.9,Ghana
Upper West,78.88,Oct,8.69,Ghana
Upper East,74.56,Oct,7.68,Ghana
Northern,92.43,Oct,11.38,Ghana
Greater Accra,97.9,Oct,9.55,Ghana
Eastern,112.34,Nov,7.8,Ghana
Central,111.23,Nov,7.43,Ghana
Brong Ahafo,117.61,Nov,7.21,Ghana
Ashanti,123.38,Nov,8.96,Ghana
Western,118.81,Nov,9.2,Ghana
Volta,106.71,Nov,6.43,Ghana
Upper West,78.88,Nov,2.2,Ghana
Upper East,74.56,Nov,1.83,Ghana
Northern,92.43,Nov,3.47,Ghana
Greater Accra,97.9,Nov,6.14,Ghana
Eastern,112.34,Dec,1.93,Ghana
Central,111.23,Dec,2.98,Ghana
Brong Ahafo,117.61,Dec,1.53,Ghana
Ashanti,123.38,Dec,2.01,Ghana
Western,118.81,Dec,3.21,Ghana
Volta,106.71,Dec,1.32,Ghana
Upper West,78.88,Dec,0.2,Ghana
Upper East,74.56,Dec,0.14,Ghana
Northern,92.43,Dec,0.49,Ghana
Greater Accra,97.9,Dec,1.89,Ghana
