Year,Region,AnnualPrecip,Country
2005,Ashanti,1259.1,Ghana
2006,Ashanti,1263.39,Ghana
2007,Ashanti,1518.48,Ghana
2008,Ashanti,1566.24,Ghana
2009,Ashanti,1277.31,Ghana
2010,Ashanti,1528.12,Ghana
2011,Ashanti,1372.17,Ghana
2012,Ashanti,1413.22,Ghana
2013,Ashanti,1208.32,Ghana
2014,Ashanti,1341.62,Ghana
2015,Ashanti,1220.58,Ghana
2016,Ashanti,1289.41,Ghana
2017,Ashanti,1296.8,Ghana
2018,Ashanti,1388.8,Ghana
2019,Ashanti,1593.53,Ghana
2020,Ashanti,1323.55,Ghana
2021,Ashanti,1449.68,Ghana
2005,Brong Ahafo,1148.54,Ghana
2006,Brong Ahafo,1204.26,Ghana
2007,Brong Ahafo,1301.87,Ghana
2008,Brong Ahafo,1365.87,Ghana
2009,Brong Ahafo,1266.68,Ghana
2010,Brong Ahafo,1303.73,Ghana
2011,Brong Ahafo,1233.62,Ghana
2012,Brong Ahafo,1251.67,Ghana
2013,Brong Ahafo,1122.25,Ghana
2014,Brong Ahafo,1238.91,Ghana
2015,Brong Ahafo,1093.42,Ghana
2016,Brong Ahafo,1186.77,Ghana
2017,Brong Ahafo,1086.06,Ghana
2018,Brong Ahafo,1337.95,Ghana
2019,Brong Ahafo,1437.83,Ghana
2020,Brong Ahafo,1228.18,Ghana
2021,Brong Ahafo,1277.33,Ghana
2005,Central,1196.03,Ghana
2006,Central,1129.5,Ghana
2007,Central,1447.95,Ghana
2008,Central,1495.15,Ghana
2009,Central,1155.8,Ghana
2010,Central,1472.89,Ghana
2011,Central,1260.11,Ghana
2012,Central,1334.61,Ghana
2013,Central,1109.18,Ghana
2014,Central,1225.72,Ghana
2015,Central,1146.96,Ghana
2016,Central,1217.59,Ghana
2017,Central,1334.92,Ghana
2018,Central,1260.38,Ghana
2019,Central,1489.66,Ghana
2020,Central,1223.0,Ghana
2021,Central,1326.6,Ghana
2005,Eastern,1184.07,Ghana
2006,Eastern,1140.02,Ghana
2007,Eastern,1472.03,Ghana
2008,Eastern,1443.67,Ghana
2009,Eastern,1189.35,Ghana
2010,Eastern,1467.5,Ghana
2011,Eastern,1279.21,Ghana
2012,Eastern,1310.52,Ghana
2013,Eastern,1168.58,Ghana
2014,Eastern,1309.73,Ghana
2015,Eastern,1183.06,Ghana
2016,Eastern,1242.21,Ghana
2017,Eastern,1246.58,Ghana
2018,Eastern,1265.02,Ghana
2019,Eastern,1615.79,Ghana
2020,Eastern,1164.39,Ghana
2021,Eastern,1333.1,Ghana
2005,Greater Accra,916.98,Ghana
2006,Greater Accra,864.27,Ghana
2007,Greater Accra,1099.65,Ghana
2008,Greater Accra,1100.14,Ghana
2009,Greater Accra,938.62,Ghana
2010,Greater Accra,1144.13,Ghana
2011,Greater Accra,972.64,Ghana
2012,Greater Accra,1002.18,Ghana
2013,Greater Accra,918.93,Ghana
2014,Greater Accra,1016.49,Ghana
2015,Greater Accra,916.05,Ghana
2016,Greater Accra,971.93,Ghana
2017,Greater Accra,1010.53,Ghana
2018,Greater Accra,946.0,Ghana
2019,Greater Accra,1262.7,Ghana
2020,Greater Accra,867.13,Ghana
2021,Greater Accra,971.27,Ghana
2005,Northern,1090.99,Ghana
2006,Northern,1118.13,Ghana
2007,Northern,1173.64,Ghana
2008,Northern,1220.42,Ghana
2009,Northern,1274.32,Ghana
2010,Northern,1166.6,Ghana
2011,Northern,1103.84,Ghana
2012,Northern,1140.33,Ghana
2013,Northern,1055.83,Ghana
2014,Northern,1180.0,Ghana
2015,Northern,1030.3,Ghana
2016,Northern,1161.82,Ghana
2017,Northern,978.34,Ghana
2018,Northern,1264.65,Ghana
2019,Northern,1343.73,Ghana
2020,Northern,1214.17,Ghana
2021,Northern,1133.47,Ghana
2005,Upper East,992.72,Ghana
2006,Upper East,965.36,Ghana
2007,Upper East,1029.98,Ghana
2008,Upper East,1082.67,Ghana
2009,Upper East,1137.97,Ghana
2010,Upper East,1029.79,Ghana
2011,Upper East,957.47,Ghana
2012,Upper East,1000.71,Ghana
2013,Upper East,914.78,Ghana
2014,Upper East,1028.95,Ghana
2015,Upper East,970.95,Ghana
2016,Upper East,1037.25,Ghana
2017,Upper East,907.17,Ghana
2018,Upper East,1067.37,Ghana
2019,Upper East,1124.53,Ghana
2020,Upper East,1124.23,Ghana
2021,Upper East,1010.18,Ghana
2005,Upper West,964.17,Ghana
2006,Upper West,1034.22,Ghana
2007,Upper West,1007.51,Ghana
2008,Upper West,1021.89,Ghana
2009,Upper West,1115.81,Ghana
2010,Upper West,1045.7,Ghana
2011,Upper West,936.28,Ghana
2012,Upper West,1058.55,Ghana
2013,Upper West,954.9,Ghana
2014,Upper West,1087.76,Ghana
2015,Upper West,921.61,Ghana
2016,Upper West,1086.05,Ghana
2017,Upper West,881.38,Ghana
2018,Upper West,1168.38,Ghana
2019,Upper West,1242.41,Ghana
2020,Upper West,1094.53,Ghana
2021,Upper West,1049.97,Ghana
2005,Volta,1168.75,Ghana
2006,Volta,1155.05,Ghana
2007,Volta,1416.19,Ghana
2008,Volta,1421.14,Ghana
2009,Volta,1279.86,Ghana
2010,Volta,1463.12,Ghana
2011,Volta,1268.87,Ghana
2012,Volta,1241.91,Ghana
2013,Volta,1134.53,Ghana
2014,Volta,1339.23,Ghana
2015,Volta,1130.42,Ghana
2016,Volta,1204.51,Ghana
2017,Volta,1186.38,Ghana
2018,Volta,1314.3,Ghana
2019,Volta,1600.11,Ghana
2020,Volta,1151.32,Ghana
2021,Volta,1281.51,Ghana
