Year,Region,AnnualForecastedPrecip(mm),Country
2015,Ashanti,1328.0,Ghana
2016,Ashanti,1342.63,Ghana
2017,Ashanti,1323.0,Ghana
2018,Ashanti,1312.27,Ghana
2019,Ashanti,1287.35,Ghana
2020,Ashanti,1260.7,Ghana
2021,Ashanti,1311.5,Ghana
2022,Ashanti,1300.19,Ghana
2023,Ashanti,1399.02,Ghana
2024,Ashanti,1430.57,Ghana
2025,Ashanti,1364.68,Ghana
2026,Ashanti,1304.8,Ghana
2027,Ashanti,1316.37,Ghana
2028,Ashanti,1345.21,Ghana
2029,Ashanti,1285.47,Ghana
2030,Ashanti,1340.82,Ghana
2031,Ashanti,1393.86,Ghana
2032,Ashanti,1225.65,Ghana
2033,Ashanti,1308.36,Ghana
2034,Ashanti,1289.05,Ghana
2035,Ashanti,1308.47,Ghana
2036,Ashanti,1316.68,Ghana
2037,Ashanti,1339.69,Ghana
2038,Ashanti,1308.0,Ghana
2039,Ashanti,1329.89,Ghana
2040,Ashanti,1336.66,Ghana
2041,Ashanti,1387.7,Ghana
2042,Ashanti,1320.32,Ghana
2043,Ashanti,1363.91,Ghana
2044,Ashanti,1386.92,Ghana
2045,Ashanti,1299.61,Ghana
2046,Ashanti,1282.18,Ghana
2047,Ashanti,1356.85,Ghana
2048,Ashanti,1309.46,Ghana
2049,Ashanti,1382.98,Ghana
2050,Ashanti,1316.43,Ghana
2051,Ashanti,1293.23,Ghana
2052,Ashanti,1295.36,Ghana
2053,Ashanti,1369.16,Ghana
2054,Ashanti,1262.87,Ghana
2055,Ashanti,1332.39,Ghana
2056,Ashanti,1277.35,Ghana
2057,Ashanti,1260.21,Ghana
2058,Ashanti,1349.39,Ghana
2059,Ashanti,1393.48,Ghana
2060,Ashanti,1314.71,Ghana
2061,Ashanti,1364.46,Ghana
2062,Ashanti,1359.44,Ghana
2063,Ashanti,1362.32,Ghana
2064,Ashanti,1332.47,Ghana
2065,Ashanti,1426.79,Ghana
2066,Ashanti,1314.3,Ghana
2067,Ashanti,1344.04,Ghana
2068,Ashanti,1326.68,Ghana
2069,Ashanti,1375.8,Ghana
2070,Ashanti,1378.06,Ghana
2071,Ashanti,1318.87,Ghana
2072,Ashanti,1310.26,Ghana
2073,Ashanti,1367.75,Ghana
2074,Ashanti,1343.99,Ghana
2075,Ashanti,1354.5,Ghana
2076,Ashanti,1394.33,Ghana
2077,Ashanti,1266.69,Ghana
2078,Ashanti,1281.79,Ghana
2079,Ashanti,1350.11,Ghana
2080,Ashanti,1371.81,Ghana
2081,Ashanti,1353.48,Ghana
2082,Ashanti,1347.55,Ghana
2083,Ashanti,1316.04,Ghana
2084,Ashanti,1335.86,Ghana
2085,Ashanti,1313.09,Ghana
2086,Ashanti,1322.09,Ghana
2087,Ashanti,1346.43,Ghana
2088,Ashanti,1341.05,Ghana
2089,Ashanti,1288.59,Ghana
2090,Ashanti,1357.92,Ghana
2091,Ashanti,1388.5,Ghana
2092,Ashanti,1298.9,Ghana
2093,Ashanti,1384.8,Ghana
2094,Ashanti,1403.18,Ghana
2095,Ashanti,1351.47,Ghana
2096,Ashanti,1368.9,Ghana
2097,Ashanti,1293.1,Ghana
2098,Ashanti,1431.14,Ghana
2099,Ashanti,1368.59,Ghana
2100,Ashanti,1380.53,Ghana
2015,Brong Ahafo,1292.14,Ghana
2016,Brong Ahafo,1295.73,Ghana
2017,Brong Ahafo,1235.74,Ghana
2018,Brong Ahafo,1298.21,Ghana
2019,Brong Ahafo,1254.79,Ghana
2020,Brong Ahafo,1215.42,Ghana
2021,Brong Ahafo,1298.57,Ghana
2022,Brong Ahafo,1278.24,Ghana
2023,Brong Ahafo,1317.14,Ghana
2024,Brong Ahafo,1316.11,Ghana
2025,Brong Ahafo,1329.17,Ghana
2026,Brong Ahafo,1285.69,Ghana
2027,Brong Ahafo,1259.46,Ghana
2028,Brong Ahafo,1274.18,Ghana
2029,Brong Ahafo,1276.08,Ghana
2030,Brong Ahafo,1293.18,Ghana
2031,Brong Ahafo,1318.24,Ghana
2032,Brong Ahafo,1218.3,Ghana
2033,Brong Ahafo,1280.03,Ghana
2034,Brong Ahafo,1254.62,Ghana
2035,Brong Ahafo,1266.74,Ghana
2036,Brong Ahafo,1252.67,Ghana
2037,Brong Ahafo,1287.71,Ghana
2038,Brong Ahafo,1270.05,Ghana
2039,Brong Ahafo,1246.51,Ghana
2040,Brong Ahafo,1272.72,Ghana
2041,Brong Ahafo,1309.59,Ghana
2042,Brong Ahafo,1249.31,Ghana
2043,Brong Ahafo,1313.92,Ghana
2044,Brong Ahafo,1306.53,Ghana
2045,Brong Ahafo,1271.09,Ghana
2046,Brong Ahafo,1259.18,Ghana
2047,Brong Ahafo,1295.06,Ghana
2048,Brong Ahafo,1243.79,Ghana
2049,Brong Ahafo,1294.02,Ghana
2050,Brong Ahafo,1286.4,Ghana
2051,Brong Ahafo,1223.43,Ghana
2052,Brong Ahafo,1223.38,Ghana
2053,Brong Ahafo,1331.72,Ghana
2054,Brong Ahafo,1226.06,Ghana
2055,Brong Ahafo,1285.13,Ghana
2056,Brong Ahafo,1239.42,Ghana
2057,Brong Ahafo,1206.01,Ghana
2058,Brong Ahafo,1275.57,Ghana
2059,Brong Ahafo,1310.46,Ghana
2060,Brong Ahafo,1203.17,Ghana
2061,Brong Ahafo,1297.61,Ghana
2062,Brong Ahafo,1302.29,Ghana
2063,Brong Ahafo,1321.95,Ghana
2064,Brong Ahafo,1261.84,Ghana
2065,Brong Ahafo,1346.27,Ghana
2066,Brong Ahafo,1240.59,Ghana
2067,Brong Ahafo,1287.55,Ghana
2068,Brong Ahafo,1283.95,Ghana
2069,Brong Ahafo,1291.06,Ghana
2070,Brong Ahafo,1275.25,Ghana
2071,Brong Ahafo,1244.1,Ghana
2072,Brong Ahafo,1267.69,Ghana
2073,Brong Ahafo,1273.65,Ghana
2074,Brong Ahafo,1223.15,Ghana
2075,Brong Ahafo,1311.57,Ghana
2076,Brong Ahafo,1311.92,Ghana
2077,Brong Ahafo,1206.79,Ghana
2078,Brong Ahafo,1253.99,Ghana
2079,Brong Ahafo,1284.68,Ghana
2080,Brong Ahafo,1287.09,Ghana
2081,Brong Ahafo,1298.32,Ghana
2082,Brong Ahafo,1256.85,Ghana
2083,Brong Ahafo,1280.38,Ghana
2084,Brong Ahafo,1289.88,Ghana
2085,Brong Ahafo,1220.78,Ghana
2086,Brong Ahafo,1298.41,Ghana
2087,Brong Ahafo,1298.71,Ghana
2088,Brong Ahafo,1242.41,Ghana
2089,Brong Ahafo,1244.16,Ghana
2090,Brong Ahafo,1316.77,Ghana
2091,Brong Ahafo,1288.44,Ghana
2092,Brong Ahafo,1224.27,Ghana
2093,Brong Ahafo,1319.99,Ghana
2094,Brong Ahafo,1343.45,Ghana
2095,Brong Ahafo,1261.17,Ghana
2096,Brong Ahafo,1285.32,Ghana
2097,Brong Ahafo,1239.55,Ghana
2098,Brong Ahafo,1348.66,Ghana
2099,Brong Ahafo,1312.85,Ghana
2100,Brong Ahafo,1287.31,Ghana
2015,Central,1261.98,Ghana
2016,Central,1192.15,Ghana
2017,Central,1201.88,Ghana
2018,Central,1185.11,Ghana
2019,Central,1207.19,Ghana
2020,Central,1099.23,Ghana
2021,Central,1215.54,Ghana
2022,Central,1229.53,Ghana
2023,Central,1222.16,Ghana
2024,Central,1232.64,Ghana
2025,Central,1242.59,Ghana
2026,Central,1233.92,Ghana
2027,Central,1233.94,Ghana
2028,Central,1232.53,Ghana
2029,Central,1310.26,Ghana
2030,Central,1213.8,Ghana
2031,Central,1266.31,Ghana
2032,Central,1175.16,Ghana
2033,Central,1211.71,Ghana
