Variable:,cdd
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,48.24,32.92,36.80,30.69,33.34,40.72,55.76,66.82,62.99,40.79,29.63
2016,74.06,43.66,53.03,34.76,42.22,45.17,89.36,108.05,107.84,56.62,32.54
2017,73.47,37.39,53.52,29.91,37.75,40.62,91.94,113.64,110.80,53.81,28.20
2018,73.00,38.61,47.70,32.71,41.74,41.69,90.93,113.91,110.47,53.12,29.34
2019,74.03,37.98,52.92,36.59,40.18,46.89,92.68,112.73,107.52,54.57,32.65
2020,70.80,37.49,50.37,30.56,33.18,36.29,88.44,111.63,104.07,50.46,25.34
2021,73.22,33.84,52.52,33.51,34.03,48.64,92.46,110.88,106.94,55.49,28.01
2022,72.49,37.79,50.93,30.27,36.63,42.22,87.83,118.05,113.02,54.43,27.55
2023,74.38,36.78,47.69,29.34,36.66,41.80,92.99,124.57,119.30,53.07,28.11
2024,71.94,39.37,51.56,31.00,36.30,38.54,89.03,114.58,105.03,52.69,29.85
2025,73.42,41.31,56.13,37.67,41.80,39.78,90.30,101.72,100.47,55.76,32.27
2026,78.55,43.90,56.12,33.15,38.63,37.48,98.39,125.85,117.06,53.29,31.07
2027,76.40,50.54,63.23,33.31,40.56,41.83,88.07,116.40,109.93,57.88,36.52
2028,70.90,29.91,42.06,29.56,33.25,45.05,90.04,117.45,111.41,50.77,28.58
2029,76.86,38.88,53.70,34.44,40.35,38.91,95.73,118.71,109.50,55.64,31.70
2030,77.04,45.32,56.36,35.16,49.04,47.37,94.20,114.19,107.38,58.62,32.23
2031,73.04,35.29,50.94,31.69,39.74,42.10,93.15,115.97,110.57,52.45,28.79
2032,69.49,32.84,45.48,32.77,32.50,38.94,88.42,112.96,110.34,45.65,28.81
2033,73.71,33.94,51.12,29.18,38.71,42.06,93.13,112.28,108.91,56.74,26.77
2034,76.27,48.91,56.27,45.00,48.03,43.14,90.03,111.27,104.73,54.59,42.78
2035,73.35,39.84,54.29,29.62,38.46,39.35,92.63,108.73,105.05,54.48,28.31
2036,75.44,36.15,51.62,30.36,34.27,37.58,99.10,119.71,115.17,52.08,27.46
2037,73.17,39.14,52.50,31.02,38.53,43.77,90.66,106.20,100.58,57.63,31.82
2038,73.67,38.56,53.61,33.64,37.35,45.18,91.40,111.45,107.47,57.60,32.06
2039,75.91,37.39,55.22,30.58,33.69,45.08,98.31,117.72,114.18,56.65,28.69
2040,74.84,39.76,50.11,36.46,38.33,36.57,91.43,121.20,111.66,50.74,30.03
2041,72.59,35.81,49.70,30.38,34.24,36.40,92.14,117.69,109.97,52.69,28.99
2042,70.29,34.77,45.36,34.96,33.40,41.11,88.96,115.97,107.06,47.42,30.90
2043,69.29,34.84,49.79,32.42,38.95,39.96,88.36,106.08,103.73,49.54,30.89
2044,76.72,40.49,53.21,32.27,43.72,40.80,97.64,120.64,119.20,51.03,32.32
2045,75.83,38.97,53.80,37.87,37.07,39.93,96.26,117.51,114.84,50.90,36.49
2046,73.51,37.16,51.78,30.66,38.46,37.63,94.16,113.75,106.33,52.19,32.74
2047,75.54,42.15,56.63,34.55,46.92,42.32,91.59,114.35,105.22,61.29,31.25
2048,71.27,33.69,44.33,31.11,33.81,33.53,87.10,125.77,118.62,49.11,28.06
2049,68.31,34.26,45.65,31.62,33.90,40.55,86.97,111.35,107.25,45.56,26.91
2050,72.75,37.79,53.96,29.23,33.12,35.57,89.85,121.09,113.25,50.74,30.43
2051,77.48,40.81,53.09,33.91,43.45,44.72,96.62,121.32,113.83,60.21,28.01
2052,73.18,31.22,47.45,28.19,30.19,39.42,98.65,115.37,113.59,50.12,26.44
2053,74.77,39.49,55.17,30.80,39.72,40.48,92.69,110.43,107.25,60.18,31.69
2054,75.17,35.35,46.00,32.77,38.75,42.89,98.47,122.13,120.28,51.35,30.55
2055,73.86,37.58,51.00,31.69,36.89,46.07,93.07,119.05,114.79,53.02,29.44
2056,76.48,41.46,50.25,32.11,45.96,42.92,95.20,120.37,116.60,56.46,30.11
2057,76.71,36.01,48.93,33.51,38.50,42.87,96.56,127.09,112.42,55.96,31.10
2058,77.30,41.99,56.68,36.59,45.37,47.66,94.52,114.91,103.70,59.81,32.63
2059,74.59,37.93,50.61,29.68,35.54,38.59,93.71,119.51,120.11,46.32,28.20
2060,76.06,40.05,55.82,30.00,43.63,42.09,96.11,113.49,109.67,57.96,31.91
2061,81.51,43.02,62.27,33.15,39.55,39.58,105.00,126.95,118.80,56.81,33.68
2062,71.88,34.67,49.65,27.33,32.75,35.22,93.80,113.11,106.99,47.87,24.49
2063,79.29,43.59,58.65,33.20,40.58,45.58,98.68,119.74,116.36,61.60,33.69
2064,73.82,36.54,48.73,30.39,33.93,38.28,93.05,124.25,117.01,48.75,28.81
2065,73.71,36.64,48.03,33.42,35.27,41.49,96.26,116.87,113.03,50.06,32.38
2066,73.65,45.77,52.08,41.44,44.85,44.17,87.97,113.90,105.76,53.13,37.49
2067,76.26,40.80,53.47,35.29,41.88,42.45,96.48,110.95,107.34,58.87,29.71
2068,78.01,37.57,53.72,30.19,36.00,37.44,100.94,127.85,124.12,51.82,27.25
2069,82.53,50.56,64.19,38.23,44.85,49.68,99.76,121.96,118.29,65.64,31.16
2070,68.13,31.09,46.03,29.44,30.71,35.67,85.89,112.30,106.05,47.16,28.11
2071,78.24,41.03,56.54,30.19,38.75,40.80,98.28,123.08,116.43,59.07,29.35
2072,76.11,38.20,50.87,30.49,36.81,37.52,96.25,120.89,115.80,55.48,33.27
2073,79.28,42.33,58.86,30.85,42.64,45.95,96.29,127.18,109.14,64.16,28.66
2074,74.46,42.78,50.37,31.72,41.74,44.38,90.24,113.68,105.35,55.18,32.91
2075,73.86,35.99,48.97,27.25,33.67,42.71,94.51,123.45,113.04,47.62,24.39
2076,74.93,41.81,56.85,33.22,42.29,41.39,90.74,115.44,111.14,55.26,30.22
2077,78.64,39.86,58.76,29.11,37.23,40.65,100.32,119.88,113.10,58.43,28.04
2078,72.03,38.61,51.20,33.53,40.19,39.38,90.21,112.22,105.13,53.52,29.12
2079,71.56,39.01,51.16,34.88,37.50,40.80,90.61,102.89,100.11,54.47,33.79
2080,76.41,39.39,56.31,29.06,35.41,33.79,99.34,118.30,112.68,53.42,28.08
2081,76.22,47.16,55.50,35.17,45.09,40.61,90.93,117.37,106.33,57.96,35.55
2082,75.34,42.32,56.32,28.24,44.40,45.41,89.23,121.57,110.57,58.94,26.29
2083,76.38,37.87,56.05,30.66,36.05,41.81,95.52,126.73,117.31,50.75,30.29
2084,71.37,32.83,45.54,32.69,35.87,39.88,92.85,116.74,107.72,47.22,27.41
2085,69.20,31.11,46.13,24.15,27.18,35.78,91.48,118.01,109.29,41.04,25.90
2086,73.69,31.97,47.70,27.17,35.84,37.38,97.25,117.96,109.42,49.25,23.79
2087,76.45,41.88,52.34,37.03,42.01,44.35,96.46,117.49,114.25,54.80,34.44
2088,77.72,41.64,57.15,36.69,46.46,44.95,95.06,113.94,106.02,62.63,31.80
2089,80.91,40.13,57.40,29.81,34.76,39.81,106.01,122.21,121.67,56.82,32.12
2090,77.34,38.64,51.95,35.77,38.99,42.07,99.14,114.80,110.23,59.02,35.89
2091,70.97,34.95,53.32,30.26,32.50,42.48,89.56,108.72,106.87,51.57,29.34
2092,73.28,37.45,48.08,33.47,38.05,38.44,93.60,117.95,107.26,48.93,29.74
2093,70.25,31.97,48.67,25.96,33.39,36.23,90.33,109.15,100.60,51.88,23.84
2094,75.47,39.30,52.00,28.33,42.38,41.66,98.29,114.56,109.91,52.87,28.66
2095,74.87,39.07,51.69,27.10,39.61,37.61,93.73,121.51,114.97,53.67,26.85
2096,78.33,38.95,53.63,36.82,45.65,50.50,99.18,117.63,113.00,60.98,31.03
2097,72.48,34.23,47.76,26.40,35.36,37.78,89.74,119.36,106.88,53.42,24.65
2098,71.99,37.31,46.40,31.85,40.25,49.31,91.00,109.10,101.38,55.10,29.74
2099,71.28,33.73,48.76,29.00,34.84,38.77,91.05,111.09,103.37,56.63,28.98
2100,72.00,38.77,49.39,36.03,38.42,44.55,90.78,109.61,106.24,50.50,34.23
