Variable:,cdd65
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,6262.27,5823.13,5897.07,5758.58,5812.54,5679.94,6500.69,6891.10,6548.33,6120.70,5718.51
2016,6192.06,5845.80,5859.11,5797.85,5823.30,5698.47,6381.75,6729.52,6443.96,6077.50,5759.98
2017,6229.98,5825.87,5908.41,5795.75,5781.94,5687.23,6461.50,6818.18,6502.15,6070.72,5775.23
2018,6343.54,5932.53,6028.49,5870.10,5868.95,5781.23,6582.36,6934.10,6623.24,6179.14,5835.50
2019,6453.66,6014.40,6111.83,5968.19,5977.77,5833.78,6696.44,7101.48,6733.91,6268.21,5933.37
2020,6513.90,6112.43,6202.01,5985.83,6065.44,5885.06,6741.96,7115.14,6810.53,6359.08,5942.68
2021,6463.45,6051.86,6124.55,5991.79,6033.86,5864.55,6692.08,7048.88,6712.31,6334.02,5955.87
2022,6416.96,6024.14,6107.52,5960.60,5994.79,5857.22,6627.77,6992.77,6670.49,6304.11,5928.58
2023,6442.88,6045.86,6112.01,5966.09,5984.59,5854.10,6658.38,7033.33,6694.73,6310.02,5944.29
2024,6573.34,6175.41,6236.99,6078.64,6118.06,5948.39,6809.43,7166.95,6829.84,6408.33,6047.91
2025,6545.42,6150.48,6216.05,6048.49,6091.51,5916.10,6765.91,7123.49,6812.50,6400.13,6029.86
2026,6586.91,6186.46,6260.18,6067.26,6141.66,5969.77,6813.08,7174.65,6856.16,6442.68,6047.91
2027,6447.79,5988.52,6052.05,5969.47,5968.31,5874.66,6684.44,7095.79,6774.14,6300.38,5945.90
2028,6605.97,6139.59,6252.51,6091.54,6103.59,5984.93,6850.94,7236.73,6897.72,6464.89,6052.44
2029,6591.44,6177.06,6233.13,6119.93,6133.55,6033.22,6820.13,7170.77,6833.07,6475.58,6085.43
2030,6610.50,6192.40,6255.84,6082.76,6142.98,5972.63,6849.56,7256.40,6903.41,6443.72,6077.11
2031,6716.29,6259.40,6367.05,6150.64,6229.42,6035.99,6990.77,7325.60,7006.62,6568.87,6128.92
2032,6672.96,6251.81,6319.57,6086.21,6196.23,5980.12,6907.76,7279.26,6975.73,6527.01,6083.86
2033,6711.58,6298.17,6383.29,6173.12,6238.37,6068.35,6931.35,7302.86,6985.52,6588.86,6156.56
2034,6655.31,6215.24,6283.49,6133.04,6165.73,6033.50,6891.36,7299.11,6965.33,6498.60,6099.41
2035,6598.84,6129.28,6243.47,6096.79,6099.50,6005.23,6861.61,7255.60,6920.64,6423.29,6042.88
2036,6698.99,6301.68,6390.67,6156.38,6174.59,6075.34,6939.19,7313.93,6972.33,6504.75,6151.25
2037,6729.61,6348.03,6392.48,6231.87,6296.14,6126.55,6921.33,7327.23,6967.08,6617.24,6240.45
2038,6669.45,6290.65,6313.50,6236.72,6275.95,6114.61,6884.16,7294.13,6922.05,6504.54,6182.59
2039,6706.02,6322.03,6384.30,6223.87,6253.61,6096.77,6932.35,7285.26,6957.19,6527.49,6199.98
2040,6671.90,6300.90,6371.81,6105.85,6203.96,5984.85,6883.02,7240.05,6914.85,6532.97,6124.40
2041,6689.68,6257.98,6349.15,6212.54,6183.75,6101.00,6932.43,7286.45,6963.48,6526.84,6166.43
2042,6760.28,6354.01,6413.56,6259.53,6293.66,6162.01,6993.50,7365.39,6990.33,6617.96,6251.16
2043,6794.33,6435.09,6507.29,6318.36,6380.32,6226.26,7005.18,7324.18,7007.97,6665.61,6317.57
2044,6739.44,6359.84,6405.50,6279.54,6292.49,6133.97,6941.55,7356.54,7012.17,6588.11,6265.86
2045,6696.60,6267.09,6372.04,6180.33,6207.52,6083.29,6933.58,7275.94,6929.32,6561.30,6152.19
2046,6810.79,6386.93,6441.03,6269.18,6317.38,6179.93,7033.54,7450.30,7113.99,6654.88,6243.09
2047,6794.68,6412.27,6474.72,6279.09,6332.92,6169.44,7025.34,7389.65,7094.10,6645.80,6241.73
2048,6804.62,6403.18,6465.04,6330.67,6369.21,6224.17,7022.99,7394.15,7061.87,6671.55,6289.62
2049,6801.59,6348.35,6429.69,6293.81,6343.88,6196.99,7038.30,7453.75,7103.71,6637.38,6237.81
2050,6851.05,6406.60,6489.61,6355.19,6382.47,6228.06,7085.58,7503.51,7150.54,6681.69,6336.82
2051,6880.60,6458.11,6538.31,6437.98,6437.06,6300.78,7102.79,7476.81,7166.56,6739.36,6396.59
2052,6806.98,6312.28,6419.28,6227.14,6275.22,6125.32,7069.10,7488.58,7142.75,6641.52,6205.54
2053,6736.76,6318.07,6401.67,6251.12,6228.21,6129.22,6968.77,7348.85,6998.07,6563.27,6244.11
2054,6790.45,6396.84,6427.76,6279.34,6315.89,6186.46,7024.53,7397.59,7026.81,6631.39,6285.04
2055,6736.53,6278.62,6379.02,6227.41,6217.21,6112.41,6973.44,7376.53,7029.65,6572.50,6198.07
2056,6859.10,6427.25,6543.63,6323.79,6358.61,6181.73,7101.96,7458.26,7130.76,6702.00,6286.55
2057,6808.04,6371.23,6442.85,6292.29,6304.37,6160.84,7053.05,7449.76,7106.56,6644.14,6254.25
2058,6758.94,6378.97,6456.63,6283.45,6317.00,6168.59,6961.83,7322.95,7021.22,6616.52,6266.00
2059,6829.80,6420.32,6467.21,6398.33,6390.32,6280.12,7042.32,7451.27,7080.14,6680.19,6349.69
2060,6894.98,6466.94,6569.38,6395.00,6429.75,6259.53,7132.32,7496.48,7187.88,6732.12,6368.46
2061,6845.11,6370.28,6517.43,6274.14,6338.81,6184.96,7118.78,7467.79,7153.00,6669.22,6228.63
2062,6760.20,6335.06,6416.84,6239.62,6267.99,6128.61,6988.53,7409.01,7045.45,6575.91,6217.14
2063,6830.51,6434.78,6511.61,6355.97,6376.83,6212.20,7049.05,7406.20,7077.74,6679.99,6325.89
2064,6870.57,6443.57,6548.17,6309.97,6389.74,6208.09,7106.93,7485.39,7111.37,6725.20,6296.57
2065,6757.15,6331.71,6430.28,6278.75,6287.92,6170.58,6987.70,7360.88,7031.96,6587.43,6262.40
2066,6857.85,6407.13,6485.12,6451.15,6375.43,6271.48,7095.95,7476.86,7162.52,6675.45,6365.82
2067,6846.72,6443.15,6547.19,6305.58,6318.51,6192.68,7099.71,7422.67,7115.79,6664.85,6251.60
2068,6898.01,6448.21,6568.23,6345.02,6366.78,6209.14,7170.25,7479.42,7142.06,6748.36,6321.00
2069,6844.76,6377.67,6495.36,6290.96,6333.01,6201.55,7095.82,7492.92,7185.42,6680.96,6276.42
2070,6941.12,6518.59,6603.97,6353.60,6444.50,6241.25,7203.70,7566.17,7239.64,6766.80,6334.53
2071,6842.30,6402.07,6481.35,6290.61,6274.42,6200.02,7107.31,7483.17,7202.12,6628.34,6261.13
2072,6777.31,6364.13,6440.17,6267.67,6298.61,6201.70,7008.01,7360.81,7055.90,6618.78,6252.73
2073,6824.99,6393.77,6463.95,6309.98,6354.18,6194.27,7056.85,7457.65,7133.51,6662.91,6288.99
2074,6855.74,6458.14,6490.36,6371.65,6371.52,6268.04,7097.75,7481.68,7129.23,6673.61,6324.96
2075,6858.51,6408.91,6509.52,6324.30,6359.58,6220.38,7106.72,7492.28,7140.94,6696.96,6314.66
2076,6768.45,6363.27,6402.62,6317.55,6323.09,6217.40,6978.47,7400.07,7072.68,6624.72,6285.22
2077,6875.23,6444.96,6534.90,6391.92,6388.34,6238.45,7118.89,7483.21,7108.32,6710.24,6328.11
