Variable:,r20mm
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,6.40,0.00,0.00,0.00,0.13,0.37,0.72,1.25,1.72,1.04,0.28,0.02,0.00
Eastern,4.62,0.00,0.00,0.00,0.17,0.41,0.83,1.02,0.80,0.55,0.21,0.06,0.00
Central,4.79,0.00,0.00,0.03,0.17,0.42,1.29,1.18,0.49,0.18,0.15,0.10,0.00
"Brong Ahafo",6.58,0.00,0.00,0.00,0.18,0.46,0.76,1.25,1.53,1.02,0.36,0.03,0.00
Ashanti,5.92,0.00,0.00,0.00,0.17,0.45,0.81,1.27,1.00,0.76,0.28,0.05,0.00
Western,5.50,0.00,0.00,0.01,0.15,0.50,1.25,1.40,0.81,0.36,0.18,0.07,0.00
Volta,5.79,0.00,0.00,0.00,0.19,0.44,0.78,1.19,1.29,0.85,0.28,0.03,0.00
"Upper West",7.17,0.00,0.00,0.00,0.06,0.24,0.56,1.50,2.54,1.35,0.23,0.00,0.00
"Upper East",6.81,0.00,0.00,0.00,0.05,0.22,0.52,1.27,2.32,1.37,0.21,0.00,0.00
Northern,7.33,0.00,0.00,0.00,0.10,0.35,0.70,1.38,2.38,1.36,0.32,0.00,0.00
"Greater Accra",5.26,0.00,0.00,0.00,0.17,0.54,1.23,1.31,0.38,0.20,0.15,0.10,0.00
