Variable:,r50mm
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,0.34,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.10,0.06,0.00,0.00,0.00
Eastern,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
Central,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00
"Brong Ahafo",0.28,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.07,0.05,0.00,0.00,0.00
Ashanti,0.17,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02,0.00,0.00,0.00
Western,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.00
Volta,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.03,0.04,0.00,0.00,0.00
"Upper West",0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.19,0.10,0.00,0.00,0.00
"Upper East",0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.20,0.10,0.00,0.00,0.00
Northern,0.49,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.15,0.09,0.00,0.00,0.00
"Greater Accra",0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00
