Variable:,spei12
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2017,-0.03,-0.10,-0.01,-0.00,-0.14,-0.02,0.00,0.00,0.00,-0.08,-0.02
2018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020,-0.02,-0.05,-0.05,-0.08,-0.07,-0.15,-0.01,0.00,0.00,-0.01,-0.01
2021,-0.00,-0.00,-0.00,0.00,0.00,-0.23,-0.00,0.00,0.00,-0.03,-0.01
2022,-0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,0.00,-0.02,0.00
2023,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2024,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2025,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00
2026,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00
2027,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2028,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
2029,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2030,-0.03,0.00,0.00,0.00,0.00,0.00,-0.03,-0.11,-0.01,0.00,0.00
2031,-0.06,-0.11,-0.12,-0.01,-0.15,-0.02,-0.02,0.00,-0.02,-0.13,-0.03
2032,-0.02,0.00,-0.00,0.00,-0.02,-0.02,-0.01,-0.06,-0.01,-0.06,0.00
2033,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2034,0.02,0.00,0.03,0.00,0.00,0.00,0.04,0.00,0.01,0.02,0.01
2035,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2036,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2037,-0.00,-0.01,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04
2038,-0.01,-0.06,-0.04,-0.01,-0.00,0.00,0.00,0.00,0.00,0.00,-0.15
2039,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2040,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00
