Variable:,hi37
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,16.67,1.34,0.90,2.06,0.64,0.25,21.25,41.97,19.58,13.88,1.84
2016,18.96,5.73,1.84,8.78,4.20,1.80,22.16,40.96,18.04,19.40,6.09
2017,9.06,0.30,0.49,2.00,0.27,0.08,12.09,24.50,8.09,6.81,1.43
2018,21.43,11.27,8.69,3.15,6.99,1.35,25.77,35.69,22.48,26.07,4.45
2019,25.68,6.95,4.25,8.00,3.85,1.45,34.42,51.87,30.70,24.37,7.83
2020,39.65,20.69,13.03,28.71,20.55,13.45,50.53,68.51,45.05,36.40,22.15
2021,26.07,15.03,8.32,16.44,10.74,3.25,29.95,44.52,24.41,26.76,15.51
2022,32.25,17.34,11.26,17.99,15.59,4.02,38.84,51.51,40.33,34.08,15.21
2023,22.41,14.60,7.84,8.60,11.70,2.55,26.19,33.06,18.74,28.52,10.97
2024,28.16,9.10,6.32,11.79,7.84,3.52,35.10,53.69,30.11,28.71,12.10
2025,35.36,17.41,10.63,17.51,12.28,6.36,42.48,62.06,42.87,37.92,18.41
2026,25.93,11.92,3.99,26.25,11.25,10.57,29.26,47.80,34.40,25.20,24.80
2027,38.01,29.64,19.34,25.47,18.79,8.39,44.73,52.22,36.56,45.05,24.98
2028,37.19,21.09,16.40,31.63,21.20,10.18,45.05,56.79,45.37,38.52,25.17
2029,27.80,15.04,8.02,19.01,16.42,9.87,30.32,45.49,23.65,37.01,15.66
2030,34.91,12.03,9.27,20.12,7.99,5.88,49.63,66.91,51.96,30.71,21.79
2031,54.88,30.20,28.54,44.97,30.46,15.37,67.38,76.10,58.07,54.75,35.03
2032,39.12,28.10,15.73,35.82,28.61,14.24,41.68,60.53,37.93,44.98,34.71
2033,33.82,11.69,7.19,16.49,12.73,7.40,42.27,66.09,35.77,34.66,15.26
2034,54.96,50.94,31.96,49.50,49.35,19.82,51.33,76.20,60.21,59.88,48.95
2035,39.48,15.07,16.98,18.78,13.96,7.28,52.06,62.95,52.15,43.15,18.99
2036,52.10,41.35,29.00,36.84,32.85,16.93,58.05,70.04,58.59,58.53,38.16
2037,63.43,46.51,40.62,49.38,42.92,30.46,72.21,87.65,72.23,65.16,49.90
2038,35.51,13.51,8.32,12.41,11.57,5.08,46.12,67.60,48.41,35.05,13.37
2039,64.21,53.11,47.05,52.52,48.33,27.02,70.20,85.26,69.37,65.97,47.55
2040,41.97,32.49,21.86,31.19,28.25,13.68,45.36,61.53,40.92,47.70,29.43
2041,44.30,22.12,17.41,39.09,28.11,20.21,51.67,66.72,48.49,51.24,33.11
2042,49.76,29.28,19.78,51.94,31.98,25.67,58.54,71.53,57.62,52.07,42.66
2043,59.38,48.10,29.04,60.64,49.09,33.24,64.50,75.00,63.10,70.39,53.24
2044,52.72,43.72,36.31,51.34,41.94,27.07,56.51,62.38,53.67,59.23,49.99
2045,42.50,17.73,12.61,28.11,21.75,17.50,54.08,76.04,53.75,42.27,24.57
2046,59.42,46.47,40.18,71.96,48.61,31.21,63.06,77.42,56.08,64.51,58.54
2047,61.89,50.27,42.16,37.71,47.93,20.14,68.08,77.64,63.33,72.96,36.30
2048,49.56,42.57,22.11,49.85,44.92,27.40,49.33,65.92,41.20,58.74,46.23
2049,63.72,54.28,40.26,50.71,53.39,29.10,67.18,83.22,56.89,71.43,50.63
2050,60.24,46.75,35.57,58.00,52.21,36.97,66.74,76.77,67.48,65.68,53.82
2051,69.35,59.09,50.52,62.24,55.84,31.37,75.08,84.19,64.28,75.97,57.85
2052,72.81,66.72,60.09,59.83,61.77,28.74,76.91,79.40,62.35,81.79,59.55
2053,58.65,47.38,31.94,42.68,46.07,17.56,64.40,78.01,65.54,66.57,44.63
2054,65.86,52.33,49.16,67.19,51.76,39.10,73.02,75.43,61.52,75.22,59.89
2055,59.72,43.88,34.72,59.63,48.33,27.25,67.60,73.34,56.83,69.07,51.85
2056,69.03,62.92,49.28,57.77,63.51,42.93,69.10,84.68,72.61,76.95,56.51
2057,49.25,36.06,22.48,52.53,39.94,22.14,54.54,71.98,51.69,54.67,45.67
2058,57.81,44.64,37.60,57.86,48.84,33.01,63.27,67.00,57.66,66.44,49.45
2059,53.97,38.92,32.67,36.41,39.96,19.93,61.25,72.29,63.76,65.18,33.06
2060,67.78,59.29,40.05,56.56,63.03,26.99,70.08,78.91,64.00,82.56,55.40
2061,66.16,55.02,38.52,61.09,52.60,31.24,72.72,82.28,63.01,75.08,61.02
2062,74.43,63.80,51.73,77.16,66.07,54.45,78.19,89.81,67.26,83.62,68.14
2063,73.87,71.51,60.26,80.01,65.52,44.22,75.23,80.99,69.02,84.09,71.27
2064,57.57,49.52,42.35,49.99,42.17,22.82,61.71,76.95,56.97,56.74,43.52
2065,46.75,36.07,24.18,42.18,36.53,15.01,47.80,68.60,46.47,53.30,34.07
2066,79.02,64.48,54.41,83.47,66.66,53.43,86.36,100.84,73.47,85.56,70.63
2067,66.48,59.05,50.29,73.48,56.54,49.05,70.39,77.37,59.54,70.40,67.16
2068,59.82,43.95,38.34,67.62,47.06,35.87,68.56,73.20,48.85,68.77,54.31
2069,74.89,64.17,50.23,88.83,69.52,63.68,78.95,85.52,72.00,85.62,82.05
2070,62.25,45.33,39.97,74.17,49.43,41.43,70.49,74.81,61.73,69.04,63.42
2071,62.17,44.63,40.83,62.33,46.02,33.81,68.35,75.15,65.56,74.14,50.71
2072,64.23,56.59,42.67,65.31,54.45,34.64,67.39,77.11,59.20,73.14,63.58
2073,61.43,47.46,38.10,56.77,44.84,37.03,67.34,80.08,70.59,64.76,53.83
2074,69.76,63.65,52.45,69.40,64.43,45.98,71.90,73.41,65.90,85.97,69.44
2075,56.16,35.36,35.20,65.58,43.16,35.53,61.72,72.57,58.40,64.44,54.03
2076,51.05,43.64,35.04,58.80,46.06,27.28,52.79,62.21,45.63,57.05,53.50
2077,65.28,54.97,44.34,61.74,52.80,27.83,70.24,86.46,70.25,64.72,55.71
2078,79.53,60.46,46.79,75.41,65.90,48.13,86.57,105.22,88.77,89.71,67.82
2079,70.41,53.36,47.63,70.72,54.51,45.31,78.95,89.12,71.54,78.95,59.47
2080,62.03,46.86,38.89,70.48,51.98,36.14,69.82,71.12,57.99,68.16,60.29
2081,68.84,66.25,54.73,76.02,59.54,40.70,70.16,73.44,57.36,77.52,66.14
2082,78.02,67.41,57.33,83.02,66.60,45.37,81.86,92.40,76.50,85.93,72.71
2083,70.25,62.28,51.47,52.64,60.29,24.22,75.47,81.45,61.53,80.73,48.88
2084,51.17,43.65,30.84,47.27,44.00,30.65,54.31,66.76,55.26,58.41,43.86
2085,58.09,48.25,41.02,65.38,46.67,30.89,59.99,68.60,48.27,69.07,55.40
2086,81.97,62.29,55.72,81.42,59.32,45.34,94.58,100.04,85.93,89.25,74.82
