Variable:,hi39
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,2.88,0.00,0.00,0.00,0.00,0.00,3.45,10.99,0.34,1.28,0.00
2016,2.54,0.00,0.00,0.00,0.00,0.00,2.48,6.59,0.30,3.19,0.00
2017,1.00,0.00,0.00,0.00,0.00,0.00,1.18,4.10,0.00,0.85,0.00
2018,2.98,1.16,0.31,0.10,0.30,0.08,3.85,7.07,0.82,4.22,0.74
2019,5.89,0.47,0.07,0.01,0.07,0.00,7.12,15.62,4.12,5.67,0.00
2020,12.44,2.29,0.52,1.44,1.26,0.25,16.82,31.01,15.65,10.46,1.76
2021,4.93,0.23,0.31,0.08,0.15,0.08,7.02,14.02,2.94,5.08,0.91
2022,9.15,0.12,0.45,0.04,0.07,0.00,12.96,21.63,8.97,8.41,0.59
2023,4.00,0.58,0.21,0.05,0.16,0.08,5.34,7.20,1.98,6.49,0.50
2024,6.05,0.47,0.00,0.01,0.04,0.00,7.94,15.60,4.33,5.11,0.00
2025,7.83,0.85,0.41,0.13,0.90,0.17,9.87,24.69,3.96,6.40,1.15
2026,6.23,0.16,0.07,4.47,0.25,0.00,5.67,18.71,6.30,3.75,1.37
2027,8.56,1.39,0.65,0.18,0.45,0.25,12.24,18.90,9.17,9.20,1.57
2028,13.11,2.12,1.65,2.74,2.08,0.68,17.02,27.97,16.54,15.29,2.60
2029,6.12,0.16,0.28,1.32,0.11,0.00,8.36,11.20,5.08,6.69,0.75
2030,11.98,0.00,0.14,0.00,0.05,0.00,16.76,28.78,12.42,10.27,0.17
2031,20.35,2.98,2.33,4.83,1.50,0.17,28.40,43.06,30.16,17.59,4.24
2032,10.69,1.66,0.66,4.69,0.63,0.17,12.74,24.45,9.39,8.96,3.78
2033,6.97,1.18,0.24,0.74,0.33,0.17,9.16,16.52,6.75,6.80,0.82
2034,23.24,13.18,7.70,6.41,10.61,3.95,23.91,46.88,18.84,24.46,8.84
2035,15.00,0.86,1.96,1.41,1.08,0.59,21.99,32.96,18.42,16.09,1.49
2036,16.09,4.85,2.40,5.02,1.87,0.42,21.36,31.45,17.44,15.44,5.89
2037,29.85,15.80,13.56,18.52,12.11,3.78,35.77,52.20,31.22,30.85,15.47
2038,9.38,0.14,0.16,0.68,0.06,0.00,11.83,25.53,8.07,6.52,0.67
2039,30.33,17.48,12.89,9.29,18.64,6.26,36.73,47.44,32.09,38.22,13.45
2040,11.69,6.55,2.52,2.61,2.07,0.17,14.56,23.77,7.36,11.23,5.49
2041,14.18,5.22,1.98,8.15,3.01,0.76,19.13,27.69,10.53,14.70,6.61
2042,20.30,8.32,2.77,7.75,6.81,1.35,22.03,43.90,20.52,19.87,7.38
2043,21.91,6.16,3.10,4.19,4.27,1.70,29.24,43.96,24.86,23.40,6.53
2044,17.77,12.37,4.35,10.61,7.07,0.93,20.66,31.51,15.62,20.62,9.93
2045,16.60,1.45,0.55,4.60,1.77,1.29,20.91,38.80,21.77,11.62,2.26
2046,22.59,17.15,8.40,21.23,14.25,3.93,22.36,30.63,14.40,32.00,14.38
2047,27.90,15.96,9.86,6.40,13.45,3.16,34.34,46.97,26.95,32.01,11.13
2048,12.62,5.43,1.37,13.23,5.22,2.58,11.30,26.29,7.32,16.46,10.33
2049,21.63,13.16,5.96,13.72,8.65,3.36,26.95,38.51,21.65,21.84,15.42
2050,24.97,12.82,4.94,18.42,10.48,5.86,31.38,44.38,26.60,28.09,15.62
2051,32.89,18.03,16.51,19.25,17.63,6.19,38.27,48.73,29.05,39.18,17.62
2052,34.52,22.97,14.91,14.98,19.23,4.09,41.34,45.69,32.73,46.95,15.85
2053,21.92,12.43,3.62,5.06,10.02,2.13,23.35,44.03,22.51,22.74,7.42
2054,27.23,16.60,9.29,17.83,15.16,5.23,31.08,36.40,20.82,38.04,16.83
2055,25.54,10.93,8.20,8.96,9.15,2.65,30.22,43.59,26.37,30.27,8.64
2056,33.31,33.73,15.13,24.45,27.58,10.07,29.08,49.24,24.22,39.97,28.29
2057,16.34,6.18,1.69,6.23,6.61,2.90,19.82,29.78,12.87,21.94,6.45
2058,25.78,16.06,7.15,11.07,8.46,3.44,32.74,42.85,31.48,26.90,13.00
2059,27.96,9.97,10.09,6.62,10.01,2.13,39.98,47.49,39.75,28.30,7.29
2060,25.27,13.34,7.44,13.52,13.03,3.78,28.27,43.02,20.59,28.46,12.92
2061,26.28,14.87,3.96,14.42,4.83,2.91,34.39,48.61,40.05,27.29,14.63
2062,32.34,21.54,15.20,21.98,17.74,8.28,36.94,43.72,30.07,40.12,18.70
2063,33.38,24.45,20.72,22.43,20.03,6.37,41.40,36.32,27.94,42.22,18.86
2064,23.59,13.34,11.14,13.39,9.36,3.53,28.84,35.24,21.75,26.09,11.85
2065,13.03,6.33,2.61,8.24,1.73,0.59,15.32,30.68,10.90,11.59,6.40
2066,33.63,19.49,12.23,29.37,21.26,11.57,37.32,48.98,28.97,44.23,25.19
2067,32.44,19.10,18.92,36.54,24.56,15.30,35.60,39.27,25.79,41.79,31.40
2068,22.84,13.55,7.04,13.38,10.64,3.09,26.36,37.03,22.49,24.63,15.18
2069,33.57,17.05,11.68,43.48,24.18,20.29,38.35,42.10,24.29,42.90,35.93
2070,30.68,14.60,10.32,23.18,10.82,4.57,42.70,48.93,41.38,29.90,18.83
2071,28.52,17.90,12.07,16.58,10.26,3.43,35.75,47.10,31.15,31.65,17.18
2072,23.23,17.26,8.40,15.06,12.06,4.63,24.87,35.49,16.75,28.60,14.98
2073,28.72,20.12,6.60,21.36,17.56,8.79,29.26,51.30,24.70,32.95,21.79
2074,35.41,20.96,13.10,27.12,19.80,7.14,41.41,50.56,37.92,42.30,24.96
2075,23.30,7.30,7.13,14.53,8.55,5.08,28.86,39.76,29.06,29.27,12.13
2076,17.54,13.11,6.09,8.77,9.19,2.66,19.39,26.41,17.89,21.73,8.77
2077,28.77,16.93,11.54,14.96,16.66,3.67,34.12,46.33,31.73,33.18,17.19
2078,37.06,16.88,9.80,26.20,17.34,11.46,47.03,68.62,46.84,36.27,25.35
2079,33.97,17.97,13.78,19.86,16.38,6.10,41.44,51.65,40.27,38.19,19.29
2080,27.70,11.02,6.83,9.70,8.16,3.44,37.26,45.31,24.27,31.33,13.26
2081,30.52,25.39,17.60,18.47,17.50,4.28,35.37,41.82,27.27,36.36,21.51
2082,40.06,21.20,17.76,28.10,19.91,5.82,49.81,58.60,48.15,50.84,22.34
2083,29.29,14.59,10.99,6.03,13.80,2.55,35.84,47.63,29.03,37.25,10.37
2084,22.10,12.25,6.77,11.83,12.38,4.72,25.45,35.82,20.57,27.66,13.32
2085,20.51,15.34,8.55,9.26,9.56,2.74,24.08,27.66,19.14,27.66,11.20
2086,38.81,16.82,14.04,27.31,12.26,5.65,51.54,59.99,46.33,41.31,20.59
2087,31.32,14.54,9.96,16.33,11.44,4.90,41.56,53.07,36.79,33.95,17.47
2088,19.05,4.48,1.21,6.78,2.80,0.76,25.21,44.60,30.47,16.81,6.14
2089,28.85,20.09,11.94,23.31,14.93,5.60,33.80,42.20,26.61,34.89,19.94
2090,29.02,12.26,5.29,21.51,12.41,7.32,36.46,49.61,31.74,35.68,16.77
2091,24.18,15.85,9.61,11.74,9.49,4.01,28.18,45.10,23.25,26.12,15.22
2092,27.60,12.29,8.75,9.63,9.04,2.13,37.97,45.25,30.56,33.36,10.72
2093,35.81,30.56,18.06,31.19,28.56,10.81,36.88,43.42,26.21,45.76,31.94
2094,16.66,17.67,5.17,14.84,14.77,4.98,14.35,21.59,10.05,24.96,17.54
2095,25.03,15.07,7.49,8.24,9.72,2.22,33.38,40.38,29.96,29.31,12.56
2096,25.38,14.44,10.30,24.66,10.46,4.64,31.74,40.69,19.83,32.51,19.40
