Variable:,cwd
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,23.39,30.33,27.38,31.10,26.66,27.83,21.08,17.73,19.57,22.39,34.89
2016,24.13,27.60,27.47,27.40,27.16,27.10,23.81,18.71,18.64,24.85,29.93
2017,25.61,29.28,28.16,29.06,27.29,24.43,24.74,18.41,21.60,26.42,32.18
2018,24.57,29.96,28.74,26.06,27.49,23.65,22.45,18.33,20.64,25.85,28.18
2019,24.82,30.31,28.68,27.27,25.09,27.05,24.14,20.63,21.60,24.45,29.11
2020,22.69,26.22,25.09,25.81,25.79,24.82,21.71,18.33,21.40,23.54,27.84
2021,23.79,29.63,27.97,25.74,25.88,23.12,22.27,17.31,17.90,25.12,30.70
2022,25.70,31.01,29.18,28.66,29.29,27.95,24.91,18.23,21.24,27.17,29.18
2023,24.75,27.58,27.79,25.94,26.29,24.35,23.44,19.18,20.39,25.97,27.95
2024,26.57,31.36,29.83,32.78,28.61,29.92,23.94,21.26,22.64,28.10,34.69
2025,25.13,30.13,27.50,28.62,27.21,23.47,23.51,20.82,21.57,25.24,31.72
2026,26.81,31.47,32.28,28.52,29.45,24.12,25.76,21.63,23.60,28.03,31.04
2027,24.84,29.70,29.86,25.96,25.65,24.47,22.66,19.92,21.38,25.95,31.78
2028,25.69,31.63,28.29,30.91,30.60,26.64,23.00,17.93,19.19,27.84,33.31
2029,24.67,28.60,27.80,29.91,25.77,25.52,24.24,19.98,20.73,24.24,31.23
2030,24.68,31.27,28.42,27.57,28.67,27.92,21.66,17.93,20.21,27.52,29.49
2031,24.98,32.46,29.45,28.51,30.30,25.05,23.43,17.61,19.86,23.86,29.66
2032,23.75,27.73,25.74,27.32,26.08,22.73,21.62,19.70,20.22,26.38,27.78
2033,25.48,30.09,27.59,28.29,27.86,24.47,24.39,23.75,22.54,25.51,30.82
2034,23.52,27.10,26.26,24.51,24.84,23.78,22.55,20.58,23.37,23.38,29.42
2035,24.47,30.49,29.01,26.29,25.69,21.77,22.76,18.26,19.89,25.10,30.05
2036,23.50,27.98,27.58,27.44,27.40,25.82,21.29,18.85,20.09,23.93,29.58
2037,24.52,28.77,28.35,26.20,27.34,25.52,24.36,18.50,20.60,25.65,29.07
2038,25.33,31.53,28.45,29.33,24.83,27.57,23.92,20.56,19.55,27.27,29.53
2039,24.67,28.98,26.68,29.07,27.85,26.34,23.36,21.84,21.68,25.56,29.72
2040,24.10,25.02,27.26,21.92,22.80,22.35,24.93,21.23,22.35,23.89,26.07
2041,25.94,29.93,28.49,27.66,27.88,26.95,25.10,19.73,21.64,27.23,31.28
2042,25.64,29.37,30.59,26.51,27.10,25.13,24.07,18.73,19.58,27.17,31.70
2043,25.16,27.12,29.66,27.37,24.25,23.52,25.37,19.70,21.18,25.57,28.56
2044,24.88,27.79,27.44,26.52,25.89,22.68,24.13,19.86,18.77,26.34,27.64
2045,28.42,36.24,32.36,28.46,36.32,28.73,25.89,21.79,25.22,29.55,32.09
2046,24.84,28.26,29.18,28.81,25.64,25.52,24.01,18.47,20.61,25.75,32.26
2047,26.39,32.10,28.85,31.19,29.87,26.81,25.48,20.31,22.56,27.39,32.29
2048,27.24,32.65,31.48,25.09,29.65,23.61,25.67,19.92,20.45,28.06,31.36
2049,24.06,29.00,25.40,22.57,24.47,23.17,24.26,20.13,22.06,24.93,25.50
2050,24.21,26.34,25.89,26.30,28.60,24.70,23.25,17.87,23.72,25.91,27.05
2051,25.23,29.95,27.31,30.03,27.13,25.48,25.54,20.63,21.76,23.80,31.56
2052,23.77,30.31,28.55,26.60,28.83,26.52,20.65,16.00,19.59,25.53,33.30
2053,24.82,29.31,28.47,29.88,27.27,27.22,23.21,21.15,21.79,24.90,33.05
2054,24.10,27.97,28.46,27.35,26.18,26.22,21.61,17.94,21.40,27.13,33.72
2055,25.97,30.72,31.87,23.49,28.97,24.46,23.57,18.47,20.31,28.11,32.15
2056,24.81,28.00,30.91,25.52,25.32,24.39,23.83,20.30,20.48,25.28,28.59
2057,22.95,28.71,26.98,23.33,26.18,23.90,19.93,18.05,19.83,26.13,30.27
2058,24.83,28.60,29.77,28.98,25.26,27.44,23.17,17.07,19.47,26.59,29.41
2059,24.52,25.75,27.47,26.98,29.81,26.52,23.39,17.71,19.32,28.06,31.06
2060,23.41,25.71,23.86,28.89,27.42,24.52,22.53,20.10,21.60,24.29,30.82
2061,25.29,27.29,30.59,28.47,25.88,27.13,24.36,19.32,22.46,26.70,29.83
2062,23.31,27.19,26.35,25.10,26.69,23.55,22.03,18.07,20.92,24.27,26.98
2063,25.19,29.69,29.59,32.17,28.06,30.84,23.65,19.79,22.08,24.49,30.42
2064,24.23,28.14,26.59,23.28,26.44,24.60,22.68,19.40,21.50,26.24,25.78
2065,24.06,27.00,28.43,30.54,27.17,26.70,22.10,19.23,20.28,25.56,31.48
2066,25.93,33.42,28.74,29.87,32.97,25.74,23.10,18.51,18.77,29.12,32.26
2067,24.32,28.05,30.10,25.94,25.96,24.60,22.50,18.58,20.31,25.70,29.99
2068,24.42,30.78,27.80,22.81,30.01,24.86,21.94,17.78,19.28,28.34,28.83
2069,26.14,29.08,31.00,28.30,26.08,24.35,25.08,19.61,23.06,26.83,29.43
2070,24.31,30.97,28.56,25.21,24.69,24.83,23.41,18.26,20.47,25.50,27.52
2071,25.63,32.25,29.84,30.07,28.73,25.33,23.70,17.06,22.24,27.52,34.77
2072,23.63,29.32,26.07,27.53,23.57,23.91,22.77,19.64,20.25,24.75,27.72
