Variable:,tasmax
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,32.89,31.66,32.14,30.62,31.17,29.50,33.66,34.65,34.07,32.05,30.61
2016,32.78,31.70,32.09,30.71,31.24,29.53,33.47,34.41,33.89,32.01,30.69
2017,32.77,31.66,32.08,30.65,31.17,29.51,33.50,34.44,33.88,31.95,30.63
2018,32.96,31.80,32.26,30.76,31.25,29.63,33.71,34.72,34.13,32.10,30.76
2019,33.16,31.99,32.42,30.93,31.47,29.76,33.90,34.98,34.32,32.29,30.90
2020,33.26,32.05,32.52,30.96,31.54,29.80,34.06,35.03,34.49,32.39,30.92
2021,33.21,32.06,32.51,30.99,31.54,29.80,33.96,34.93,34.35,32.37,30.98
2022,33.13,32.00,32.43,30.95,31.43,29.77,33.87,34.81,34.27,32.31,30.93
2023,33.14,31.99,32.43,30.92,31.43,29.75,33.87,34.87,34.28,32.28,30.92
2024,33.35,32.19,32.61,31.08,31.64,29.87,34.10,35.15,34.48,32.49,31.05
2025,33.32,32.16,32.60,31.10,31.60,29.87,34.06,35.04,34.49,32.45,31.11
2026,33.36,32.15,32.65,31.08,31.60,29.93,34.15,35.18,34.55,32.49,31.09
2027,33.21,31.94,32.40,31.01,31.45,29.82,34.01,35.02,34.41,32.33,30.98
2028,33.39,32.16,32.67,31.10,31.65,29.96,34.15,35.15,34.55,32.55,31.07
2029,33.36,32.21,32.64,31.17,31.62,30.00,34.09,35.03,34.45,32.55,31.15
2030,33.42,32.24,32.69,31.11,31.70,29.95,34.20,35.19,34.62,32.54,31.12
2031,33.57,32.33,32.84,31.25,31.85,30.07,34.36,35.34,34.72,32.71,31.26
2032,33.55,32.28,32.75,31.20,31.75,29.96,34.36,35.35,34.72,32.66,31.17
2033,33.53,32.38,32.79,31.20,31.83,30.06,34.26,35.31,34.72,32.68,31.24
2034,33.53,32.32,32.78,31.18,31.77,30.04,34.31,35.30,34.69,32.68,31.20
2035,33.38,32.13,32.64,31.13,31.64,29.99,34.19,35.21,34.66,32.50,31.10
2036,33.53,32.32,32.84,31.28,31.73,30.11,34.29,35.31,34.70,32.64,31.25
2037,33.58,32.46,32.86,31.44,31.97,30.25,34.27,35.24,34.71,32.77,31.41
2038,33.52,32.43,32.83,31.39,31.92,30.20,34.23,35.23,34.66,32.67,31.31
2039,33.53,32.40,32.84,31.34,31.87,30.17,34.26,35.21,34.57,32.68,31.35
2040,33.45,32.33,32.80,31.17,31.74,29.95,34.20,35.14,34.56,32.57,31.21
2041,33.55,32.33,32.81,31.34,31.81,30.15,34.34,35.27,34.71,32.71,31.28
2042,33.63,32.47,32.92,31.38,31.94,30.23,34.39,35.37,34.76,32.81,31.40
2043,33.79,32.66,33.15,31.45,32.07,30.29,34.57,35.44,34.91,32.96,31.49
2044,33.61,32.52,32.92,31.42,31.93,30.18,34.32,35.32,34.75,32.74,31.38
2045,33.53,32.30,32.85,31.29,31.76,30.12,34.31,35.27,34.61,32.69,31.26
2046,33.70,32.42,32.91,31.37,31.87,30.19,34.51,35.50,34.90,32.83,31.35
2047,33.66,32.53,32.98,31.38,31.87,30.22,34.45,35.41,34.86,32.78,31.38
2048,33.75,32.56,33.02,31.49,32.05,30.31,34.50,35.47,34.84,32.97,31.49
2049,33.73,32.51,32.96,31.48,31.98,30.30,34.54,35.48,34.89,32.87,31.41
2050,33.77,32.54,33.00,31.51,32.04,30.37,34.54,35.62,35.02,32.89,31.50
2051,33.87,32.71,33.17,31.62,32.16,30.46,34.63,35.61,35.01,33.06,31.59
2052,33.68,32.42,32.90,31.34,31.92,30.21,34.45,35.48,34.90,32.84,31.34
2053,33.57,32.38,32.85,31.34,31.81,30.18,34.32,35.35,34.74,32.71,31.34
2054,33.71,32.59,32.98,31.45,31.98,30.30,34.44,35.47,34.85,32.86,31.50
2055,33.56,32.37,32.84,31.33,31.82,30.16,34.28,35.27,34.74,32.70,31.33
2056,33.77,32.56,33.07,31.50,32.01,30.28,34.58,35.54,34.91,32.85,31.52
2057,33.74,32.55,33.01,31.44,31.95,30.26,34.51,35.59,34.96,32.86,31.41
2058,33.74,32.51,33.00,31.47,31.99,30.29,34.55,35.50,34.92,32.89,31.44
2059,33.71,32.51,32.95,31.60,32.00,30.40,34.46,35.49,34.87,32.88,31.56
2060,33.93,32.71,33.25,31.54,32.13,30.32,34.72,35.73,35.05,33.03,31.59
2061,33.80,32.58,33.11,31.41,32.01,30.27,34.62,35.55,34.95,32.94,31.41
2062,33.64,32.40,32.86,31.31,31.88,30.21,34.43,35.50,34.88,32.73,31.34
2063,33.74,32.57,33.07,31.56,32.07,30.33,34.46,35.41,34.88,32.91,31.50
2064,33.80,32.63,33.11,31.47,32.08,30.33,34.54,35.51,34.86,32.98,31.48
2065,33.68,32.48,32.99,31.40,31.94,30.26,34.45,35.44,34.83,32.80,31.40
2066,33.80,32.53,33.02,31.69,32.05,30.41,34.59,35.58,35.02,32.93,31.61
2067,33.87,32.65,33.19,31.44,32.03,30.29,34.67,35.65,35.10,32.95,31.42
2068,33.83,32.58,33.08,31.50,32.00,30.32,34.66,35.65,35.08,32.95,31.47
2069,33.77,32.50,33.02,31.43,31.95,30.30,34.58,35.62,35.04,32.87,31.42
2070,33.83,32.59,33.07,31.49,32.07,30.37,34.65,35.62,35.06,32.93,31.47
2071,33.83,32.60,33.07,31.49,32.01,30.34,34.66,35.69,35.19,32.88,31.51
2072,33.69,32.42,32.88,31.38,31.89,30.25,34.48,35.57,34.97,32.77,31.39
2073,33.74,32.52,32.93,31.46,32.01,30.31,34.49,35.51,34.99,32.84,31.44
2074,33.84,32.70,33.13,31.50,32.13,30.38,34.57,35.58,34.97,33.01,31.55
2075,33.81,32.57,33.06,31.50,32.04,30.35,34.61,35.56,35.03,32.94,31.50
2076,33.65,32.46,32.90,31.43,31.95,30.30,34.39,35.42,34.81,32.81,31.41
2077,33.87,32.63,33.14,31.50,32.09,30.33,34.66,35.71,35.07,32.99,31.54
2078,33.81,32.60,33.06,31.56,32.10,30.52,34.56,35.59,34.98,32.98,31.55
2079,33.91,32.73,33.20,31.44,32.15,30.37,34.70,35.67,35.04,33.06,31.44
2080,33.84,32.54,33.14,31.39,31.96,30.28,34.71,35.71,35.15,32.90,31.41
2081,33.87,32.61,33.08,31.49,32.05,30.35,34.66,35.70,35.09,32.98,31.49
2082,33.94,32.72,33.17,31.63,32.15,30.44,34.75,35.81,35.25,33.02,31.57
2083,33.68,32.50,32.95,31.40,31.94,30.27,34.46,35.45,34.88,32.81,31.39
2084,33.73,32.50,32.98,31.52,31.95,30.33,34.56,35.48,34.90,32.79,31.48
2085,33.72,32.49,33.04,31.23,31.89,30.09,34.48,35.54,34.96,32.82,31.31
2086,33.89,32.56,33.14,31.45,31.98,30.28,34.78,35.78,35.19,32.89,31.44
2087,33.66,32.46,32.94,31.32,31.88,30.21,34.42,35.47,34.77,32.78,31.37
2088,33.63,32.45,32.94,31.35,31.92,30.18,34.42,35.38,34.74,32.79,31.38
2089,33.58,32.35,32.94,31.19,31.74,30.13,34.38,35.36,34.88,32.67,31.24
2090,33.59,32.41,32.86,31.34,31.86,30.17,34.32,35.35,34.78,32.77,31.36
2091,33.83,32.57,33.07,31.43,31.98,30.33,34.66,35.66,35.09,32.94,31.48
2092,33.69,32.47,32.94,31.33,31.92,30.19,34.48,35.53,34.83,32.79,31.33
2093,33.69,32.38,32.88,31.37,31.90,30.30,34.49,35.60,35.00,32.78,31.34
2094,33.66,32.37,32.88,31.38,31.89,30.27,34.48,35.45,34.88,32.82,31.36
2095,33.72,32.45,32.93,31.38,31.96,30.23,34.51,35.52,34.95,32.87,31.40
2096,33.48,32.34,32.88,31.22,31.73,30.00,34.22,35.10,34.53,32.67,31.21
2097,33.67,32.45,32.94,31.39,31.88,30.21,34.49,35.40,34.77,32.82,31.42
2098,33.78,32.49,32.98,31.47,32.00,30.35,34.58,35.66,35.01,32.91,31.44
2099,33.83,32.50,32.96,31.51,32.02,30.44,34.65,35.77,35.09,32.90,31.49
2100,33.60,32.39,32.82,31.41,31.89,30.24,34.33,35.35,34.75,32.77,31.37
