Variable:,tas
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,27.04,26.52,26.84,26.37,26.56,26.90,27.54,27.96,27.59,26.97,26.46
1902,27.10,26.52,26.87,26.37,26.57,26.91,27.64,28.13,27.81,26.99,26.46
1903,27.21,26.54,26.94,26.37,26.57,26.91,27.84,28.48,28.09,27.02,26.46
1904,27.22,26.54,26.95,26.37,26.57,26.91,27.85,28.48,28.10,27.02,26.46
1905,26.94,26.35,26.70,26.27,26.38,26.76,27.44,28.00,27.70,26.74,26.40
1906,27.34,26.72,27.10,26.49,26.79,27.10,27.93,28.46,28.03,27.29,26.54
1907,27.10,26.52,26.86,26.37,26.56,26.91,27.63,28.14,27.80,26.98,26.46
1908,27.16,26.54,26.91,26.38,26.58,26.93,27.72,28.28,27.96,27.01,26.47
1909,27.04,26.42,26.79,26.31,26.44,26.82,27.59,28.17,27.87,26.83,26.42
1910,27.24,26.64,27.00,26.44,26.69,27.01,27.81,28.31,27.95,27.16,26.51
1911,26.97,26.48,26.77,26.36,26.53,26.88,27.40,27.81,27.51,26.91,26.45
1912,27.26,26.64,27.02,26.44,26.70,27.00,27.84,28.36,28.01,27.16,26.51
1913,27.40,26.77,27.17,26.51,26.84,27.13,28.02,28.53,28.08,27.37,26.56
1914,27.57,26.89,27.32,26.58,26.97,27.24,28.25,28.81,28.35,27.55,26.61
1915,26.98,26.51,26.81,26.37,26.56,26.91,27.43,27.77,27.40,26.96,26.46
1916,26.82,26.49,26.72,26.37,26.57,26.91,27.14,27.28,26.92,26.92,26.46
1917,26.89,26.49,26.75,26.37,26.56,26.91,27.26,27.49,27.13,26.93,26.46
1918,26.84,26.49,26.73,26.37,26.56,26.91,27.17,27.34,26.97,26.93,26.46
1919,27.21,26.54,26.94,26.37,26.57,26.91,27.84,28.48,28.09,27.02,26.46
1920,27.27,26.60,27.01,26.43,26.63,26.97,27.90,28.53,28.15,27.07,26.52
1921,27.21,26.54,26.94,26.36,26.57,26.90,27.84,28.48,28.09,27.01,26.46
1922,27.06,26.53,26.86,26.39,26.58,26.93,27.55,27.97,27.61,26.99,26.47
1923,26.89,26.30,26.65,26.14,26.35,26.68,27.44,27.95,27.56,26.78,26.24
1924,27.16,26.49,26.91,26.30,26.52,26.85,27.79,28.38,27.99,27.00,26.40
1925,26.70,26.01,26.45,25.80,26.00,26.31,27.33,27.95,27.60,26.44,25.97
1926,27.13,26.57,26.86,26.55,26.66,27.05,27.61,28.11,27.71,27.04,26.62
1927,26.36,25.80,26.08,25.81,25.91,26.34,26.82,27.33,26.92,26.30,25.87
1928,26.44,25.82,26.17,25.73,25.90,26.28,26.98,27.51,27.15,26.33,25.82
1929,26.33,25.74,26.07,25.71,25.81,26.21,26.82,27.39,27.01,26.19,25.83
1930,26.97,26.37,26.66,26.37,26.56,27.02,27.47,28.04,27.56,27.01,26.34
1931,27.46,26.85,27.22,26.67,26.88,27.21,28.05,28.62,28.20,27.31,26.75
1932,27.38,26.79,27.10,26.72,26.91,27.31,27.92,28.48,28.03,27.31,26.72
1933,27.35,26.78,27.10,26.70,26.88,27.28,27.85,28.37,28.01,27.28,26.73
1934,27.53,26.90,27.29,26.67,26.94,27.24,28.14,28.70,28.26,27.42,26.75
1935,27.58,26.74,27.27,26.38,26.77,27.02,28.42,29.17,28.68,27.40,26.44
1936,27.12,26.42,26.86,26.20,26.42,26.72,27.79,28.43,28.04,26.89,26.34
1937,28.25,27.48,28.02,27.05,27.42,27.60,29.07,29.75,29.35,27.97,27.16
1938,28.42,27.63,28.20,27.16,27.55,27.69,29.27,29.97,29.54,28.11,27.29
