Variable:,prpercnt
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,104.88,87.23,93.32,101.11,98.72,99.06,99.58,100.99,103.15,105.33,101.39,107.75,115.25
Eastern,100.98,94.60,102.73,99.22,98.09,99.66,101.29,100.86,98.64,101.95,101.72,106.88,105.28
Central,102.33,94.05,101.41,103.29,95.78,98.98,102.21,98.62,97.02,101.53,101.62,108.30,103.94
"Brong Ahafo",102.43,90.35,98.85,99.46,99.21,98.83,99.91,101.32,102.67,104.66,100.04,106.22,116.22
Ashanti,101.28,93.47,101.51,96.94,98.63,99.47,100.05,100.68,100.94,101.98,100.35,106.47,109.16
Western,102.78,93.52,99.94,101.56,98.18,99.94,104.52,99.30,99.45,102.52,101.57,107.61,106.08
Volta,102.86,92.55,99.68,100.15,99.42,97.34,99.94,99.99,101.29,102.85,100.59,109.28,109.21
"Upper West",106.83,78.48,80.11,99.35,98.04,100.88,96.77,100.35,105.98,108.35,101.84,101.98,126.41
"Upper East",106.63,63.69,77.93,99.30,96.98,100.37,97.13,101.55,106.29,109.68,102.51,105.42,105.47
Northern,106.34,84.11,91.00,104.17,98.13,99.18,99.23,101.84,104.97,106.51,102.60,107.08,132.50
"Greater Accra",102.90,96.07,102.81,103.12,97.57,98.18,100.69,98.60,96.18,102.03,103.50,108.81,99.70
