Variable:,pr
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
1901,1279.37,1429.30,1296.37,1251.96,1305.07,967.72,1195.28,1068.52,1034.45,1276.55,1647.23
1902,1180.87,1248.94,1207.39,1145.44,1088.15,854.43,1165.22,1034.48,1066.25,1122.76,1440.46
1903,1051.25,1103.33,1047.88,975.26,991.28,741.75,1036.76,977.29,1000.39,993.01,1285.99
1904,1004.62,1035.66,1025.73,932.86,880.10,677.21,977.95,942.07,1004.09,937.96,1271.11
1905,1132.06,1171.41,1149.84,1057.41,1035.12,764.02,1143.20,1011.98,1005.38,1117.57,1345.24
1906,1235.75,1325.80,1288.44,1198.06,1123.85,781.82,1187.51,1114.10,1149.98,1100.61,1594.70
1907,1087.95,1256.97,1130.95,1200.43,1145.95,945.84,944.12,792.06,835.74,1117.76,1467.61
1908,1236.70,1341.79,1277.17,1248.52,1245.73,931.15,1163.10,969.84,1019.24,1257.63,1555.63
1909,1377.80,1509.49,1441.62,1301.84,1334.90,960.99,1328.75,1128.73,1244.79,1389.61,1588.91
1910,1436.23,1621.81,1490.76,1502.93,1519.33,1143.40,1292.81,1077.16,1102.92,1533.49,1827.45
1911,1254.02,1390.16,1311.86,1295.03,1199.29,958.18,1142.66,954.37,1035.33,1176.93,1756.64
1912,1042.83,1123.03,1079.18,1022.99,969.69,699.76,988.77,881.34,925.81,934.51,1417.00
1913,1171.12,1286.64,1170.62,1147.82,1178.48,840.08,1133.62,983.50,1075.50,1143.31,1381.42
1914,1108.03,1217.30,1167.97,1127.41,1091.85,834.19,1017.97,864.72,895.84,1135.04,1432.62
1915,1221.24,1266.07,1251.10,1120.11,1130.38,931.57,1185.07,1012.95,1095.20,1267.77,1516.94
1916,1364.49,1577.59,1384.70,1561.65,1452.25,1127.51,1220.97,1014.38,1035.84,1349.18,1811.56
1917,1573.25,1833.66,1577.38,1691.81,1746.91,1289.78,1414.73,1141.41,1163.72,1729.00,1956.61
1918,1289.22,1481.94,1287.94,1369.11,1357.09,1029.36,1203.82,1072.55,1106.14,1262.53,1538.98
1919,1086.56,1186.48,1093.38,1160.14,1105.83,911.81,1006.91,862.79,954.97,1077.22,1375.77
1920,1034.81,1096.30,1033.41,1049.55,979.66,769.43,982.82,956.46,942.64,955.70,1369.99
1921,1346.66,1511.62,1361.98,1368.33,1426.85,1054.39,1273.18,1030.34,1065.36,1446.43,1583.08
1922,1193.09,1358.13,1200.99,1231.92,1222.42,897.25,1089.05,1007.31,1049.70,1155.76,1529.87
1923,1195.36,1376.03,1244.74,1276.80,1162.79,853.93,1076.36,964.57,985.11,1099.39,1647.98
1924,1222.16,1333.94,1220.96,1226.64,1332.56,1030.00,1123.48,1006.67,1021.82,1327.46,1477.20
1925,1362.50,1495.41,1417.37,1348.82,1276.32,1033.46,1323.31,1087.39,1209.35,1277.86,1663.12
1926,1178.00,1279.81,1238.66,1178.51,1090.21,827.97,1112.50,830.99,1025.31,1114.38,1581.85
1927,1228.89,1316.20,1322.58,1188.57,1124.45,797.47,1174.19,1025.08,1133.63,1091.68,1571.85
1928,1237.69,1356.18,1330.38,1147.84,1141.29,754.56,1199.83,1034.00,1123.64,1128.11,1514.06
1929,1408.04,1545.95,1510.27,1301.61,1377.88,999.58,1353.73,1128.05,1192.63,1436.63,1625.99
1930,1294.60,1456.29,1313.00,1350.84,1371.39,998.30,1197.86,989.82,1139.26,1291.90,1573.74
1931,1350.13,1573.46,1396.64,1480.89,1388.58,1019.65,1183.74,1003.60,1083.46,1291.50,1876.96
1932,1199.24,1286.87,1217.59,1177.19,1171.14,895.84,1127.80,1047.78,1082.25,1162.40,1539.34
1933,1418.89,1615.03,1451.14,1473.51,1513.56,1147.84,1241.36,1069.85,1192.71,1549.10,1811.61
1934,1353.78,1459.60,1357.81,1360.56,1379.06,1043.55,1295.77,1060.57,1137.43,1391.87,1670.69
1935,1334.12,1377.92,1330.55,1256.02,1298.18,943.32,1299.84,1291.84,1308.19,1351.46,1532.14
1936,1187.90,1312.75,1224.80,1172.08,1167.17,858.87,1121.25,1161.12,1005.70,1146.47,1452.14
1937,1150.87,1219.90,1185.88,1111.68,1102.14,756.25,1099.47,1080.00,991.44,1090.14,1485.73
1938,1244.13,1402.75,1335.38,1169.62,1165.29,812.57,1141.70,1076.53,1056.14,1153.11,1669.83
1939,1273.95,1386.27,1277.41,1230.20,1370.04,1018.40,1200.34,1087.60,1056.89,1387.40,1485.27
1940,1227.18,1384.76,1278.51,1259.22,1292.85,1037.11,1100.86,905.86,1001.67,1322.03,1520.07
1941,1335.50,1544.68,1347.19,1423.72,1337.15,960.39,1209.16,1049.10,1045.18,1298.37,1849.15
1942,1203.56,1392.24,1230.92,1307.30,1251.53,976.49,1059.38,936.66,996.65,1222.19,1578.46
