Variable:,pr
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,1153.17,1328.00,1292.14,1261.98,1238.81,1084.95,1081.80,965.52,1046.17,1199.04,1319.28
2016,1162.62,1342.63,1295.73,1192.15,1261.98,1172.93,1094.89,982.79,1046.22,1227.02,1298.43
2017,1122.99,1323.00,1235.74,1201.88,1215.56,1052.11,1039.93,965.32,1006.97,1169.24,1304.63
2018,1163.97,1312.27,1298.21,1185.11,1252.58,1099.05,1113.95,977.92,1083.60,1219.50,1329.24
2019,1126.25,1287.35,1254.79,1207.19,1208.65,1082.24,1062.90,942.67,993.36,1178.23,1302.36
2020,1114.24,1260.70,1215.42,1099.23,1156.02,1021.46,1077.82,974.71,1033.88,1175.65,1219.79
2021,1145.37,1311.50,1298.57,1215.54,1237.44,1117.01,1095.04,967.92,1007.65,1191.85,1266.61
2022,1161.56,1300.19,1278.24,1229.53,1252.29,1120.88,1124.37,953.37,990.48,1213.71,1288.88
2023,1173.89,1399.02,1317.14,1222.16,1317.70,1049.04,1095.78,950.31,971.47,1262.84,1323.71
2024,1178.35,1430.57,1316.11,1232.64,1286.35,1149.73,1099.82,938.00,1017.44,1228.60,1362.00
2025,1185.23,1364.68,1329.17,1242.59,1267.83,1100.49,1144.35,1001.25,1031.79,1220.11,1343.42
2026,1184.63,1304.80,1285.69,1233.92,1276.66,1128.89,1144.49,1009.44,1059.07,1234.94,1330.97
2027,1146.96,1316.37,1259.46,1233.94,1199.07,1095.78,1096.94,973.48,1051.18,1182.73,1321.45
2028,1187.52,1345.21,1274.18,1232.53,1281.36,1048.19,1122.21,1029.24,1109.49,1244.85,1405.56
2029,1180.09,1285.47,1276.08,1310.26,1252.65,1180.05,1140.93,1033.01,1117.25,1242.77,1368.07
2030,1150.72,1340.82,1293.18,1213.80,1225.50,1071.21,1088.20,960.63,1027.26,1196.90,1325.26
2031,1192.54,1393.86,1318.24,1266.31,1307.75,1137.73,1121.55,960.53,1028.22,1281.08,1403.97
2032,1078.18,1225.65,1218.30,1175.16,1148.27,1067.65,1034.04,900.29,987.23,1108.74,1254.51
2033,1165.63,1308.36,1280.03,1211.71,1185.00,1045.21,1173.14,1025.64,1128.18,1156.31,1352.18
2034,1150.96,1289.05,1254.62,1177.50,1225.07,1089.48,1119.35,979.47,1070.98,1181.32,1271.71
2035,1145.16,1308.47,1266.74,1238.09,1229.48,1083.00,1102.71,955.88,984.69,1191.06,1352.38
2036,1158.07,1316.68,1252.67,1253.59,1255.65,1158.32,1101.63,973.76,1030.45,1223.79,1330.37
2037,1174.31,1339.69,1287.71,1108.14,1257.38,1064.31,1136.75,1025.16,1064.32,1229.36,1240.09
2038,1172.68,1308.00,1270.05,1248.17,1266.44,1174.67,1124.56,1041.05,1103.07,1215.17,1303.21
2039,1158.44,1329.89,1246.51,1369.52,1257.70,1209.92,1099.57,982.58,1058.95,1193.95,1401.21
2040,1178.42,1336.66,1272.72,1278.58,1259.75,1130.99,1129.15,1046.36,1104.02,1198.38,1390.09
2041,1180.42,1387.70,1309.59,1250.90,1256.95,1104.93,1131.70,985.98,1064.10,1211.32,1347.04
2042,1165.80,1320.32,1249.31,1252.80,1243.06,1135.53,1109.32,970.03,1066.04,1241.99,1341.23
2043,1194.48,1363.91,1313.92,1283.36,1293.12,1175.64,1137.83,1019.35,1101.08,1232.90,1391.41
2044,1218.82,1386.92,1306.53,1276.85,1337.21,1157.26,1152.34,1026.13,1075.01,1301.34,1374.50
2045,1175.81,1299.61,1271.09,1241.75,1288.67,1156.81,1118.63,971.07,1074.22,1278.20,1317.02
2046,1141.49,1282.18,1259.18,1238.17,1255.15,1153.56,1088.25,977.40,1048.26,1181.94,1330.01
2047,1162.97,1356.85,1295.06,1185.04,1207.72,1062.51,1112.42,986.26,1053.41,1172.96,1341.25
2048,1143.17,1309.46,1243.79,1314.16,1252.98,1139.90,1072.79,957.11,1021.60,1197.91,1421.73
2049,1194.22,1382.98,1294.02,1130.96,1269.65,1097.84,1161.20,1034.65,1116.26,1251.93,1289.48
2050,1174.54,1316.43,1286.40,1221.17,1247.17,1110.24,1123.04,978.59,1040.72,1257.66,1313.71
2051,1138.68,1293.23,1223.43,1275.87,1238.92,1123.00,1077.50,972.98,1039.49,1193.36,1371.79
2052,1152.97,1295.36,1223.38,1258.17,1254.85,1153.13,1107.51,971.86,1070.39,1221.90,1322.65
2053,1209.52,1369.16,1331.72,1235.26,1243.43,1119.77,1167.05,1057.74,1122.00,1289.63,1407.18
2054,1133.62,1262.87,1226.06,1135.29,1204.29,1012.45,1106.18,977.60,1040.28,1192.86,1200.63
2055,1179.90,1332.39,1285.13,1143.47,1220.83,1028.49,1159.67,1030.44,1091.22,1199.60,1286.31
2056,1125.36,1277.35,1239.42,1134.97,1218.65,1051.29,1064.24,990.18,1008.78,1161.37,1247.95
