Variable:,r95ptot
,Ghana,Ashanti,"Brong Ahafo",Central,Eastern,"Greater Accra",Northern,"Upper East","Upper West",Volta,Western
2015,324.30,344.06,365.28,273.97,299.78,275.25,344.62,291.89,309.43,326.18,305.07
2016,338.29,309.67,350.46,320.32,315.21,330.28,363.82,332.62,326.15,332.57,295.23
2017,312.44,316.58,327.60,268.84,278.42,252.52,328.80,327.62,324.09,285.86,313.91
2018,325.58,337.98,359.02,280.74,311.60,271.68,337.81,286.20,315.00,324.30,306.50
2019,311.57,300.06,321.63,278.52,283.47,271.41,322.41,303.37,308.98,305.34,295.01
2020,310.05,307.81,349.21,229.81,286.85,220.95,329.27,288.00,295.79,301.11,268.49
2021,312.10,320.57,333.49,278.05,299.48,266.53,325.57,282.93,285.30,312.06,292.64
2022,338.09,342.27,357.34,256.84,328.71,250.61,361.41,305.50,323.65,342.70,290.50
2023,326.46,317.27,349.70,289.27,303.77,290.70,344.43,307.16,328.59,341.97,305.91
2024,335.15,349.19,370.92,311.08,326.18,326.98,333.54,309.70,313.24,339.98,319.20
2025,357.69,369.13,383.85,332.48,340.96,302.43,375.95,353.76,353.56,343.24,348.63
2026,353.56,326.89,354.84,269.77,308.30,271.21,389.17,365.24,350.52,345.72,298.40
2027,313.62,306.75,335.82,276.00,283.93,251.46,326.24,307.93,313.70,311.49,289.63
2028,355.44,324.81,360.97,320.70,310.79,276.88,374.66,361.02,357.36,351.11,332.74
2029,364.51,364.96,374.04,349.20,339.70,318.14,369.16,380.16,370.37,372.34,356.56
2030,321.09,319.40,350.97,310.17,297.35,290.01,330.20,301.50,297.47,328.00,315.51
2031,325.99,340.72,343.81,287.87,328.77,270.96,331.16,299.94,297.72,330.37,341.93
2032,294.63,302.16,331.97,273.17,279.53,246.43,305.48,276.25,316.41,285.32,282.23
2033,335.57,316.05,347.82,324.76,324.94,299.76,366.79,335.84,349.90,317.93,326.18
2034,340.23,328.28,363.57,283.14,313.04,289.74,358.57,325.88,344.07,340.13,283.39
2035,319.94,325.17,345.69,303.47,313.29,304.44,323.74,293.77,301.56,342.58,306.17
2036,349.01,331.19,369.24,319.24,329.12,306.23,360.85,318.09,346.32,367.53,339.08
2037,324.57,307.47,333.07,254.14,286.52,254.89,355.76,337.61,328.45,304.09,266.07
2038,346.74,321.66,356.76,282.62,304.36,273.50,377.04,348.58,348.04,352.19,306.51
2039,344.85,356.56,377.62,310.85,332.42,291.43,366.81,326.13,338.06,323.34,331.21
2040,338.09,314.07,338.71,321.25,303.98,310.75,364.71,352.62,351.22,310.36,310.82
2041,326.82,341.65,353.74,285.98,312.61,260.82,344.51,310.36,311.28,313.65,309.44
2042,345.34,326.27,353.01,328.48,324.68,309.96,358.33,341.90,358.40,349.64,330.02
2043,356.15,333.40,362.69,300.03,299.63,301.57,394.87,381.64,393.34,334.41,305.02
2044,362.08,362.74,386.51,356.14,339.55,334.43,386.05,343.21,341.31,367.24,370.10
2045,365.35,342.57,384.22,307.31,353.53,277.74,384.67,361.65,353.80,370.56,319.86
2046,335.01,341.64,354.97,302.24,327.71,290.07,343.03,320.28,331.56,332.98,329.48
2047,333.68,328.46,356.52,287.74,320.64,277.83,351.68,318.52,329.56,328.68,301.62
2048,319.01,305.39,354.16,310.63,278.52,281.51,333.54,311.84,306.45,305.70,294.78
2049,360.40,327.99,368.81,319.72,322.32,308.02,395.91,367.56,365.60,346.04,319.28
2050,338.65,318.75,348.24,285.78,312.45,280.96,362.46,325.15,335.96,357.74,288.14
2051,313.27,311.20,335.18,259.47,278.49,270.59,320.87,318.79,327.85,314.22,301.32
2052,342.47,312.47,338.62,334.49,303.77,306.69,366.07,341.47,363.76,346.08,328.00
2053,364.12,371.61,397.25,306.78,346.42,291.14,382.43,356.05,392.41,354.84,324.15
2054,353.49,341.10,372.17,280.03,326.49,288.57,379.86,335.16,352.96,359.24,298.70
2055,356.70,358.71,382.57,287.62,333.74,302.38,379.15,344.92,363.34,338.79,302.60
2056,342.19,361.36,363.58,307.21,330.72,300.80,338.42,338.01,350.29,344.97,339.84
2057,328.35,320.21,339.97,312.62,309.50,304.05,344.01,319.74,310.08,341.11,329.24
2058,346.86,362.69,387.58,332.91,321.74,317.62,360.54,320.53,342.58,335.54,348.67
2059,350.96,353.07,371.48,345.12,336.07,339.28,352.33,339.61,357.18,357.95,356.75
2060,326.08,308.62,356.51,305.76,294.58,323.62,346.42,340.74,362.13,324.32,285.78
2061,338.39,335.06,346.30,331.47,336.11,325.95,339.88,336.88,333.99,350.94,335.63
2062,339.98,336.83,373.33,324.68,323.89,322.08,358.00,318.44,312.94,342.22,319.05
2063,380.44,355.31,374.49,311.04,346.75,330.09,408.39,367.34,390.82,373.33,323.69
2064,340.46,325.94,361.14,290.46,315.57,292.49,364.77,336.95,358.56,330.98,317.50
2065,376.69,397.20,408.60,373.15,391.08,380.15,370.34,336.55,370.07,383.16,395.22
2066,360.79,369.04,384.38,328.28,368.78,301.18,367.21,316.94,326.02,375.30,352.89
2067,356.33,356.71,400.41,314.25,343.12,319.79,387.63,305.92,306.91,362.98,341.53
2068,362.40,380.58,393.50,337.28,360.64,354.63,364.48,321.23,321.83,379.18,357.64
2069,355.43,349.26,365.12,344.86,340.72,330.16,364.54,357.82,368.01,363.52,339.02
2070,357.08,341.81,362.58,300.81,322.34,291.31,366.18,364.50,355.95,361.56,318.43
2071,329.41,331.46,351.58,307.13,335.40,294.84,332.84,306.63,308.23,332.48,323.76
2072,337.62,344.13,363.83,358.94,297.87,315.55,338.96,313.16,362.40,342.94,369.32
2073,386.59,412.74,400.48,406.96,411.32,384.00,382.86,362.44,393.11,392.28,403.40
2074,341.24,343.88,359.48,316.10,334.96,284.71,350.55,311.60,337.27,346.17,338.18
2075,354.19,359.22,383.37,327.58,332.24,325.72,374.08,349.76,364.44,344.85,342.18
2076,361.55,365.65,383.94,362.07,343.18,354.33,365.10,354.15,380.49,366.95,369.25
2077,367.82,385.50,402.97,369.39,344.03,332.16,380.34,326.88,344.71,365.51,372.42
2078,361.48,362.49,402.68,278.56,359.22,285.17,367.58,338.12,340.96,367.07,331.69
2079,339.89,350.54,379.21,309.50,327.10,282.47,353.62,321.05,338.18,335.96,324.35
2080,370.71,398.02,394.64,364.48,391.15,328.99,368.05,343.27,337.67,377.20,370.77
2081,352.47,346.09,371.54,331.14,331.82,323.20,364.14,324.50,355.00,364.91,349.88
2082,344.46,337.55,354.15,369.36,340.41,359.04,354.17,350.46,341.97,329.80,360.88
2083,355.79,367.00,380.65,352.47,359.56,361.01,354.62,331.77,342.45,361.95,354.26
2084,358.77,345.36,393.39,335.80,317.66,306.02,382.09,329.88,356.63,350.21,370.71
2085,327.78,337.71,351.59,296.69,323.56,279.44,342.84,291.45,347.49,319.33,298.78
2086,402.32,436.18,444.44,327.84,386.58,323.32,419.04,372.46,414.49,399.08,368.86
2087,356.69,367.44,396.64,331.13,351.77,317.59,369.91,316.81,335.65,357.68,354.82
2088,351.07,360.21,370.41,357.65,368.76,321.15,351.30,321.18,330.98,353.51,354.77
2089,347.81,342.35,361.30,303.89,327.65,294.83,359.69,353.27,348.82,345.47,343.86
2090,371.62,390.62,409.37,307.17,377.81,304.71,383.13,350.72,351.82,365.90,344.37
2091,373.45,397.72,411.81,392.29,392.67,365.46,359.81,323.08,366.33,377.51,406.05
2092,350.16,335.38,348.40,316.60,352.37,344.28,357.75,334.88,360.39,367.58,328.53
