Variable:,hurs
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,68.39,40.76,42.22,53.54,65.29,72.77,78.48,84.33,87.25,86.02,83.00,70.16,51.28
Eastern,80.36,62.14,65.43,74.21,79.61,82.00,85.10,89.16,89.22,89.12,89.36,82.38,70.16
Central,84.85,71.52,75.46,80.76,84.98,86.81,88.17,91.11,92.12,91.01,89.62,85.92,78.46
"Brong Ahafo",72.34,42.74,47.45,62.09,71.00,75.29,81.05,86.55,87.02,87.61,86.84,75.81,55.25
Ashanti,78.38,54.57,59.36,70.88,77.92,79.76,83.93,89.17,89.09,89.49,89.41,81.67,65.05
Western,83.96,67.67,73.13,79.37,84.10,85.75,87.68,90.65,91.72,91.43,89.97,85.55,76.19
Volta,76.25,54.92,57.31,66.43,74.27,79.48,83.35,87.13,87.84,88.09,88.14,79.27,64.25
"Upper West",56.67,23.05,21.10,32.39,49.61,62.93,70.80,81.17,86.62,82.23,75.66,55.51,33.69
"Upper East",55.11,22.72,19.98,30.49,48.08,62.55,69.86,77.68,86.07,81.09,73.62,53.78,32.22
Northern,62.10,29.09,29.16,43.16,58.70,68.02,75.00,81.70,85.91,84.45,79.86,63.85,41.40
"Greater Accra",83.56,72.58,75.50,80.43,83.86,85.42,86.60,89.06,90.30,89.33,88.86,84.45,77.15
