Variable:,tr
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,325.28,15.51,23.14,30.71,30.00,31.00,30.00,31.00,31.00,30.00,30.98,27.70,16.93
Eastern,357.92,27.71,27.74,31.00,30.00,31.00,30.00,31.00,31.00,30.00,31.00,29.97,28.71
Central,364.50,30.82,28.23,31.00,30.00,31.00,30.00,31.00,31.00,30.00,31.00,30.00,30.87
"Brong Ahafo",333.24,17.03,24.89,30.90,30.00,31.00,30.00,31.00,31.00,30.00,31.00,29.24,19.42
Ashanti,348.05,24.10,26.84,30.97,30.00,31.00,30.00,31.00,31.00,30.00,31.00,29.83,25.55
Western,361.99,29.88,28.10,31.00,30.00,31.00,30.00,31.00,31.00,30.00,31.00,30.00,30.22
Volta,346.77,22.33,26.48,30.99,30.00,31.00,30.00,31.00,31.00,30.00,31.00,29.72,24.65
"Upper West",296.67,6.32,18.39,30.43,30.00,31.00,30.00,31.00,31.00,30.00,30.98,24.45,6.22
"Upper East",299.79,6.92,18.80,30.59,30.00,31.00,30.00,31.00,31.00,30.00,30.97,25.10,7.41
Northern,309.75,9.65,21.20,30.75,30.00,31.00,30.00,31.00,31.00,30.00,31.00,27.12,10.79
"Greater Accra",364.74,30.89,28.23,31.00,30.00,31.00,30.00,31.00,31.00,30.00,31.00,30.00,30.94
