Variable:,tr26
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ghana,64.44,0.10,2.20,13.53,18.56,14.28,6.45,1.10,0.20,0.28,0.42,0.16,0.03
Eastern,47.48,0.32,2.80,15.97,12.82,5.96,0.80,0.00,0.00,0.00,0.00,0.03,0.20
Central,53.43,0.57,3.84,15.43,11.70,6.09,0.90,0.00,0.00,0.00,0.00,0.06,0.44
"Brong Ahafo",39.10,0.01,1.99,11.73,14.04,6.72,1.05,0.03,0.00,0.00,0.00,0.00,0.00
Ashanti,33.41,0.07,2.32,12.43,11.42,4.21,0.36,0.00,0.00,0.00,0.00,0.00,0.00
Western,50.33,1.05,4.90,15.31,12.15,5.89,1.00,0.03,0.00,0.00,0.01,0.24,1.07
Volta,65.98,0.52,3.87,17.76,17.91,11.68,2.94,0.09,0.00,0.01,0.01,0.16,0.51
"Upper West",80.05,0.00,1.31,11.58,22.68,22.65,11.83,1.58,0.23,0.13,0.38,0.06,0.00
"Upper East",99.04,0.03,1.67,13.22,24.38,25.57,17.28,3.90,0.85,1.22,1.87,0.68,0.00
Northern,75.40,0.05,2.12,13.85,23.56,19.01,8.61,1.23,0.20,0.30,0.47,0.21,0.00
"Greater Accra",90.88,3.46,10.97,23.02,19.91,13.48,5.29,0.12,0.00,0.00,0.00,1.17,4.85
