0,1,2,3,4,5,6,7
,,,,,,,
Ashanti,"1,532,931","38,805","31,183","85,053","141,352","296,394",19.3%
Western,"2,345,326","90,490","64,911","122,487","192,823","470,711",20.1%
Brong Ahafo,"916,917","15,394","18,035","35,574","84,579","153,582",16.7%
Central,"746,600","38,309","23,244","38,040","74,984","174,577",23.4%
Eastern,"957,359","18,535","20,423","43,375","91,205","173,539",18.1%
Greater Accra,"7,867",352,487,427,728,"1,994",25.4%
Northern,"4,169",723,798,123,17,"1,661",39.8%
Upper East,18,2,14,0,0,16,86.3%
Upper West,62,24,34,2,0,60,97.3%
Volta,"444,420","3,332","3,780","6,721","25,144","38,977",8.8%
