level_0,level_1,Ashanti,Central,Eastern,Volta,Western
temp,count,3806.0,3806.0,3806.0,3806.0,3806.0
temp,mean,26.129427220178666,27.03510246978455,27.24361534419338,27.261481870730425,27.044009458749343
temp,std,1.3759263181365728,1.3490416426085334,1.3899677959630663,1.4559455559279342,1.2958661065124533
temp,min,21.8,23.3,23.0,22.9,23.6
temp,25%,25.1,26.0,26.1,26.0,26.0
temp,50%,26.1,27.4,27.5,27.4,27.3
temp,75%,27.0,28.1,28.4,28.4,28.0
temp,max,31.4,30.2,30.4,31.5,30.1
humidity,count,3806.0,3806.0,3806.0,3806.0,3806.0
humidity,mean,80.65157645822386,84.61022070415135,81.28344718864952,79.52698370993167,83.60617446137677
humidity,std,10.751611626786897,4.055664341334055,5.8418800902561845,8.292058781540819,4.162955488218394
humidity,min,19.0,51.9,26.6,26.5,52.3
humidity,25%,77.325,82.4,79.2,76.3,81.6
humidity,50%,84.2,84.7,81.8,81.1,83.9
humidity,75%,87.6,87.1,84.5,85.2,86.1
humidity,max,96.8,94.9,94.7,95.4,94.2
precip,count,3806.0,3806.0,3806.0,3806.0,3806.0
precip,mean,4.448712559117183,4.210956384655806,3.8044140830267996,2.886284813452444,4.302811350499212
precip,std,6.382621541153193,11.262042736622641,12.061410438085415,4.7203316234440145,11.283746406292083
precip,min,0.0,0.0,0.0,0.0,0.0
precip,25%,0.3,0.4,0.0,0.0,0.5
precip,50%,2.4,1.6,0.2,1.4,1.7
precip,75%,6.1,3.7,1.998,3.9,3.9
precip,max,104.2,220.0,229.813,113.0,220.0
windspeed,count,3806.0,3806.0,3806.0,3806.0,3806.0
windspeed,mean,13.599500788229111,20.416211245402,24.80139253809774,15.990935365212822,19.971886495007883
windspeed,std,5.204653963347243,5.997704111029328,8.234567736881283,4.529246100822222,5.293518012135267
windspeed,min,5.0,6.3,9.7,5.0,9.0
windspeed,25%,11.2,17.3,20.5,13.3,16.9
windspeed,50%,13.0,20.2,24.1,15.8,19.4
windspeed,75%,15.5,22.7,29.5,18.4,22.3
windspeed,max,140.8,174.2,179.6,135.4,174.2
winddir,count,3806.0,3806.0,3806.0,3806.0,3806.0
winddir,mean,203.60801366263794,215.14887020493953,214.1102469784551,203.25320546505517,213.1479768786127
winddir,std,50.99880910099425,25.104852969353267,29.27376162498039,33.002036236677476,26.10317998069064
winddir,min,1.7,15.3,3.7,14.0,12.8
winddir,25%,194.3,206.2,209.8,196.2,202.1
winddir,50%,214.0,219.2,218.3,210.2,216.8
winddir,75%,228.2,229.6,225.6,220.2,228.9
winddir,max,359.9,333.8,354.4,336.9,341.2
cloudcover,count,3806.0,3806.0,3806.0,3806.0,3806.0
cloudcover,mean,66.23846558066211,64.10281135049921,57.790856542301626,66.27133473462953,62.96334734629532
cloudcover,std,18.373288963675066,17.759376638432162,17.012332558534528,17.3788504284018,17.380870637406883
cloudcover,min,0.1,0.1,0.0,0.0,0.3
cloudcover,25%,58.5,54.6,49.4,58.9,53.7
cloudcover,50%,70.45,67.8,59.349999999999994,69.9,66.2
cloudcover,75%,78.8,77.1,69.175,78.1,75.4
cloudcover,max,100.0,99.6,97.6,98.3,99.3
visibility,count,3643.0,3656.0,3761.0,3648.0,3664.0
visibility,mean,13.649162777930275,15.464223194748358,10.485588939111938,13.833497807017546,13.091048034934495
visibility,std,4.7241648334442194,3.7958188673640243,1.9626200275329397,4.085279121749209,3.926017515770594
visibility,min,0.0,1.0,1.1,1.0,1.0
visibility,25%,10.9,13.7,10.3,12.3,10.7
visibility,50%,14.0,15.9,10.9,14.1,12.4
visibility,75%,16.8,17.424999999999997,11.3,15.5,14.9
visibility,max,26.0,24.1,23.8,24.3,24.1
solarradiation,count,3806.0,3806.0,3806.0,3806.0,3806.0
solarradiation,mean,205.75856542301628,201.15635838150288,194.21048344718864,192.39866001050973,199.0641093011035
solarradiation,std,47.60322816096467,58.01785818944181,52.70189740357598,51.37636009541131,54.54780805214054
solarradiation,min,18.9,21.5,19.3,12.2,32.9
solarradiation,25%,172.0,153.2,152.525,151.82500000000002,155.525
solarradiation,50%,211.95,206.1,197.75,195.95,206.45
solarradiation,75%,241.9,248.7,236.1,232.8,241.3
solarradiation,max,311.5,321.7,306.7,306.4,315.0
solarenergy,count,3806.0,3806.0,3806.0,3806.0,3806.0
solarenergy,mean,17.771623751970573,17.36994219653179,16.769915922228062,16.615922228060956,17.195375722543353
solarenergy,std,4.11096592443385,5.002975235356816,4.547930328059313,4.434714185990677,4.703458581880259
solarenergy,min,1.5,2.0,1.6,1.1,2.9
solarenergy,25%,14.825000000000001,13.2,13.2,13.1,13.5
solarenergy,50%,18.3,17.8,17.1,16.9,17.8
solarenergy,75%,20.9,21.4,20.4,20.1,20.9
solarenergy,max,27.0,27.1,26.6,26.4,26.8
uvindex,count,3806.0,3806.0,3806.0,3806.0,3806.0
uvindex,mean,7.3539148712559115,7.007356805044666,6.875985286389911,6.8255386232264845,6.961376773515502
uvindex,std,1.6871062917112456,1.9459040178380416,1.8503446463198565,1.8136696340869467,1.8594025283248836
uvindex,min,1.0,1.0,1.0,1.0,2.0
uvindex,25%,6.0,5.0,5.0,5.0,5.0
uvindex,50%,8.0,7.0,7.0,7.0,7.0
uvindex,75%,9.0,9.0,8.0,8.0,8.0
uvindex,max,10.0,10.0,10.0,10.0,10.0
